DataSource,X,Coastal,StationID,UID,Year,Season,JulianDate,Collection.Date,Sta_Desc,Latitude,Longitude,US_L3CODE,US_L3NAME,US_L4CODE,US_L4NAME,VAHU6,ASSESS_REG,OFFICE_NM,VaName,Tidal,VAHUSB,FedName,HUC10,Basin,BASIN_CODE,Basin_Code,CountyCityName,FIPS,BASINS_HUC_12,WQS_ID,WQS_CLASS,WQS_SPSTDS,WQS_PWS,WQS_TROUT,WQS_TIER_III,Order,EDASOrder,totalArea_sqMile,ELEVMIN,ELEVMAX,ELEVMEAN,ELEVSD,ELEVRANGE,SLPMIN,SLPMAX,SLPMEAN,SLPSD,SLPRANGE,wshdRain_mmyr,siteRain_mmyr,wshdRain_inyr,siteRain_inyr,wshedRain_inyr,BenSampID,RepNum,Gradient,Target.Count,StreamCate,Bioregion,Bioregionsize,BioregionSeason
VDEQ_BUG,Ref,NA,1AQUA009.72,1AQUA009.72_2017_Spring,2017,Spring,137,5/17/2017,Burma Road,38.602961,-77.368728,45,Piedmont,45e,Northern Inner Piedmont,PL52,NRO,Northern,Quantico Creek,T,PL,Quantico Creek,207001101,Potomac River Basin,1A,Potomac-Lower,Prince William,153,20700110104,RL_1A_311107,III,b,,,,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUA9837,1,Riffle,200,Small,Piedmont,SmallPiedmontSpring,PiedmontSpring
VDEQ_BUG,Ref,NA,1AQUA009.72,1AQUA009.72_2017_Fall,2017,Fall,333,11/29/2017,Burma Road,38.602961,-77.368728,45,Piedmont,45e,Northern Inner Piedmont,PL52,NRO,Northern,Quantico Creek,T,PL,Quantico Creek,207001101,Potomac River Basin,1A,Potomac-Lower,Prince William,153,20700110104,RL_1A_311107,III,b,,,,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUA10454,1,Riffle,200,Small,Piedmont,SmallPiedmontFall,PiedmontFall
VDEQ_BUG,Ref,NA,1AQUA009.72,1AQUA009.72_2018_Spring,2018,Spring,159,6/8/2018,Burma Road,38.602961,-77.368728,45,Piedmont,45e,Northern Inner Piedmont,PL52,NRO,Northern,Quantico Creek,T,PL,Quantico Creek,207001101,Potomac River Basin,1A,Potomac-Lower,Prince William,153,20700110104,RL_1A_311107,III,b,,,,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUA11062,1,Riffle,200,Small,Piedmont,SmallPiedmontSpring,PiedmontSpring
VDEQ_BUG,Ref,NA,1AQUA009.72,1AQUA009.72_2018_Fall,2018,Fall,346,12/12/2018,Burma Road,38.602961,-77.368728,45,Piedmont,45e,Northern Inner Piedmont,PL52,NRO,Northern,Quantico Creek,T,PL,Quantico Creek,207001101,Potomac River Basin,1A,Potomac-Lower,Prince William,153,20700110104,RL_1A_311107,III,b,,,,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUA11534,1,Riffle,200,Small,Piedmont,SmallPiedmontFall,PiedmontFall
VDEQ_BUG,Ref,NA,1ASOA001.00,1ASOA001.00_2012_Spring,2012,Spring,81,3/21/2012,ROUTE 220 BRIDGE (HIGHLAND COUNTY),38.48222222,-79.50944444,67,Ridge and Valley,67c,Northern Sandstone Ridges,PU02,VRO,Valley,South Branch Potomac River-Frank Run,N,PU,Frank Run-South Branch Potomac River,207000103,Shenandoah River Basin,1A,Potomac-Lower,Highland,91,20700010301,RL_1A_187468,IV,,,,,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOA2872,1,Riffle,200,Small,Mountain,SmallMountainSpring,MountainSpring
VDEQ_BUG,Ref,NA,1ASOA001.00,1ASOA001.00_2015_Fall,2015,Fall,309,11/5/2015,ROUTE 220 BRIDGE (HIGHLAND COUNTY),38.48222222,-79.50944444,67,Ridge and Valley,67c,Northern Sandstone Ridges,PU02,VRO,Valley,South Branch Potomac River-Frank Run,N,PU,Frank Run-South Branch Potomac River,207000103,Shenandoah River Basin,1A,Potomac-Lower,Highland,91,20700010301,RL_1A_187468,IV,,,,,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOA7799,1,Riffle,200,Small,Mountain,SmallMountainFall,MountainFall
VDEQ_BUG,Ref,NA,1ASOA001.00,1ASOA001.00_2020_Fall,2020,Fall,283,10/9/2020,ROUTE 220 BRIDGE (HIGHLAND COUNTY),38.48222222,-79.50944444,67,Ridge and Valley,67c,Northern Sandstone Ridges,PU02,VRO,Valley,South Branch Potomac River-Frank Run,N,PU,Frank Run-South Branch Potomac River,207000103,Shenandoah River Basin,1A,Potomac-Lower,Highland,91,20700010301,RL_1A_187468,IV,,,,,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOA19750,1,Riffle,200,Small,Mountain,SmallMountainFall,MountainFall
VDEQ_BUG,Ref,NA,1AXJI000.38,1AXJI000.38_2016_Spring,2016,Spring,140,5/19/2016,Rt. 726,38.900299,-78.03895,64,Northern Piedmont,64c,Piedmont Uplands,PL06,NRO,Northern,Goose Creek-Mitchells Branch,N,PL,Mitchells Branch-Goose Creek,207000805,Potomac River Basin,1A,Potomac-Lower,Fauquier,61,20700080501,RL_1A_232052,III,,,,,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,XJI8371,1,Riffle,200,Small,Piedmont,SmallPiedmontSpring,PiedmontSpring
VDEQ_BUG,Ref,NA,1AXJI000.38,1AXJI000.38_2016_Fall,2016,Fall,312,11/7/2016,Rt. 726,38.900299,-78.03895,64,Northern Piedmont,64c,Piedmont Uplands,PL06,NRO,Northern,Goose Creek-Mitchells Branch,N,PL,Mitchells Branch-Goose Creek,207000805,Potomac River Basin,1A,Potomac-Lower,Fauquier,61,20700080501,RL_1A_232052,III,,,,,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,XJI9074,1,Riffle,200,Small,Piedmont,SmallPiedmontFall,PiedmontFall
VDEQ_BUG,Ref,NA,1AXJI000.38,1AXJI000.38_2017_Spring,2017,Spring,131,5/11/2017,Rt. 726,38.900299,-78.03895,64,Northern Piedmont,64c,Piedmont Uplands,PL06,NRO,Northern,Goose Creek-Mitchells Branch,N,PL,Mitchells Branch-Goose Creek,207000805,Potomac River Basin,1A,Potomac-Lower,Fauquier,61,20700080501,RL_1A_232052,III,,,,,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,XJI9840,1,Riffle,200,Small,Piedmont,SmallPiedmontSpring,PiedmontSpring
VDEQ_BUG,Ref,NA,1AXJI000.38,1AXJI000.38_2017_Fall,2017,Fall,331,11/27/2017,Rt. 726,38.900299,-78.03895,64,Northern Piedmont,64c,Piedmont Uplands,PL06,NRO,Northern,Goose Creek-Mitchells Branch,N,PL,Mitchells Branch-Goose Creek,207000805,Potomac River Basin,1A,Potomac-Lower,Fauquier,61,20700080501,RL_1A_232052,III,,,,,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,XJI10475,1,Riffle,200,Small,Piedmont,SmallPiedmontFall,PiedmontFall
VDEQ_BUG,Ref,NA,1AXMJ000.42,1AXMJ000.42_2016_Fall,2016,Fall,306,11/1/2016,0.6 Miles upstream Rt. 646  (Aden Rd),38.6375,-77.5055,45,Piedmont,45e,Northern Inner Piedmont,PL40,NRO,Northern,Cedar Run-Slate Run,N,PL,Slate Run-Cedar Run,207001006,Potomac River Basin,1A,Potomac-Lower,Prince William,153,20700100606,RL_1A_227532,III,g,,,,2,2,4.649401917,50,129,91.85485614,15.37389702,79,0,19.14471817,4.484700984,2.570592392,19.14471817,994.06,973.99,39.13624161,38.3460837,NA,XMJ8974,1,Riffle,200,Small,Piedmont,SmallPiedmontFall,PiedmontFall
VDEQ_BUG,Ref,NA,1AXMJ000.42,1AXMJ000.42_2018_Spring,2018,Spring,135,5/15/2018,0.6 Miles upstream Rt. 646  (Aden Rd),38.6375,-77.5055,45,Piedmont,45e,Northern Inner Piedmont,PL40,NRO,Northern,Cedar Run-Slate Run,N,PL,Slate Run-Cedar Run,207001006,Potomac River Basin,1A,Potomac-Lower,Prince William,153,20700100606,RL_1A_227532,III,g,,,,2,2,4.649401917,50,129,91.85485614,15.37389702,79,0,19.14471817,4.484700984,2.570592392,19.14471817,994.06,973.99,39.13624161,38.3460837,NA,XMJ11065,1,Riffle,200,Small,Piedmont,SmallPiedmontSpring,PiedmontSpring
VDEQ_BUG,Ref,NA,1AXMJ000.42,1AXMJ000.42_2018_Fall,2018,Fall,331,11/27/2018,0.6 Miles upstream Rt. 646  (Aden Rd),38.6375,-77.5055,45,Piedmont,45e,Northern Inner Piedmont,PL40,NRO,Northern,Cedar Run-Slate Run,N,PL,Slate Run-Cedar Run,207001006,Potomac River Basin,1A,Potomac-Lower,Prince William,153,20700100606,RL_1A_227532,III,g,,,,2,2,4.649401917,50,129,91.85485614,15.37389702,79,0,19.14471817,4.484700984,2.570592392,19.14471817,994.06,973.99,39.13624161,38.3460837,NA,XMJ11720,1,Riffle,200,Small,Piedmont,SmallPiedmontFall,PiedmontFall
VDEQ_BUG,Ref,NA,1AXMJ000.42,1AXMJ000.42_2020_Fall,2020,Fall,301,10/27/2020,0.6 Miles upstream Rt. 646  (Aden Rd),38.6375,-77.5055,45,Piedmont,45e,Northern Inner Piedmont,PL40,NRO,Northern,Cedar Run-Slate Run,N,PL,Slate Run-Cedar Run,207001006,Potomac River Basin,1A,Potomac-Lower,Prince William,153,20700100606,RL_1A_227532,III,g,,,,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,XMJ19555,1,Riffle,200,Small,Piedmont,SmallPiedmontFall,PiedmontFall
VDEQ_BUG,Ref,NA,1BBCK008.39,1BBCK008.39_2016_Spring,2016,Spring,105,4/14/2016,0.4 miles upstream Rt. 664 bridge,37.93702778,-78.97141389,66,Blue Ridge,66b,Northern Sedimentary and Metasedimentary Ridges,PS29,VRO,Valley,Back Creek-Inch Branch,N,PS,Inch Branch-Back Creek,207000507,Shenandoah River Basin,1B,Potomac-Shenandoah,Augusta,15,20700050703,RL_1B_125054,IV,pH-6.5-9.5,,,,3,3,11.13960733,493,1165,697.6650168,113.0235487,672,0,40.05370712,16.68720278,7.366055721,40.05370712,3625.99,1095.42,142.7555889,43.12679494,NA,BCK8502,1,Riffle,200,Medium,Mountain,MediumMountainSpring,MountainSpring
VDEQ_BUG,Ref,NA,1BBCK008.39,1BBCK008.39_2016_Fall,2016,Fall,266,9/22/2016,0.4 miles upstream Rt. 664 bridge,37.93702778,-78.97141389,66,Blue Ridge,66b,Northern Sedimentary and Metasedimentary Ridges,PS29,VRO,Valley,Back Creek-Inch Branch,N,PS,Inch Branch-Back Creek,207000507,Shenandoah River Basin,1B,Potomac-Shenandoah,Augusta,15,20700050703,RL_1B_125054,IV,pH-6.5-9.5,,,,3,3,11.13960733,493,1165,697.6650168,113.0235487,672,0,40.05370712,16.68720278,7.366055721,40.05370712,3625.99,1095.42,142.7555889,43.12679494,NA,BCK9128,1,Riffle,200,Medium,Mountain,MediumMountainFall,MountainFall
VDEQ_BUG,Ref,NA,1BBGR004.08,1BBGR004.08_2011_Spring,2011,Spring,110,4/20/2011,~ 0.3 miles d.s. Rocky Mountain Run,38.29140556,-78.69941389,66,Blue Ridge,66b,Northern Sedimentary and Metasedimentary Ridges,PS32,VRO,Valley,South Fork Shenandoah River-Big Run,N,PS,Big Run-South Fork Shenandoah River,207000508,Shenandoah River Basin,1B,Potomac-Shenandoah,Rockingham,165,20700050801,RL_1B_193521,VI,"pH-6.5-9.5, ESW-12",,Yes,Yes,2,NA,9.893713188,403,1025,653.5729163,125.7111325,622,0,43.39743042,22.06536193,7.346820444,43.39743042,3735.46,1218.7,147.0654337,47.98034087,NA,BGR1690,1,Riffle,200,Small,Mountain,SmallMountainSpring,MountainSpring
VDEQ_BUG,Ref,NA,1BBGR004.08,1BBGR004.08_2011_Fall,2011,Fall,255,9/12/2011,~ 0.3 miles d.s. Rocky Mountain Run,38.29140556,-78.69941389,66,Blue Ridge,66b,Northern Sedimentary and Metasedimentary Ridges,PS32,VRO,Valley,South Fork Shenandoah River-Big Run,N,PS,Big Run-South Fork Shenandoah River,207000508,Shenandoah River Basin,1B,Potomac-Shenandoah,Rockingham,165,20700050801,RL_1B_193521,VI,"pH-6.5-9.5, ESW-12",,Yes,Yes,2,NA,9.893713188,403,1025,653.5729163,125.7111325,622,0,43.39743042,22.06536193,7.346820444,43.39743042,3735.46,1218.7,147.0654337,47.98034087,NA,BGR2298,1,Riffle,200,Small,Mountain,SmallMountainFall,MountainFall
VDEQ_BUG,Ref,NA,1BBGR005.15,1BBGR005.15_2018_Spring,2018,Spring,131,5/11/2018,~1 km upstream Rocky Mountain Run,38.277636,-78.696653,66,Blue Ridge,66b,Northern Sedimentary and Metasedimentary Ridges,PS32,VRO,Valley,South Fork Shenandoah River-Big Run,N,PS,Big Run-South Fork Shenandoah River,207000508,Shenandoah River Basin,1B,Potomac-Shenandoah,Rockingham,165,20700050801,RL_1B_193522,VI,"pH-6.5-9.5, ESW-12",,Yes,Yes,1,NA,5.518201954,429,1025,680.6610141,122.7456859,596,0,42.98617172,21.33118856,6.963817891,42.98617172,2516.76,1466.65,99.08509288,57.74215717,NA,BGR11092,1,Riffle,200,Small,Mountain,SmallMountainSpring,MountainSpring
VDEQ_BUG,Ref,NA,1BBGR005.15,1BBGR005.15_2018_Fall,2018,Fall,274,10/1/2018,~1 km upstream Rocky Mountain Run,38.277636,-78.696653,66,Blue Ridge,66b,Northern Sedimentary and Metasedimentary Ridges,PS32,VRO,Valley,South Fork Shenandoah River-Big Run,N,PS,Big Run-South Fork Shenandoah River,207000508,Shenandoah River Basin,1B,Potomac-Shenandoah,Rockingham,165,20700050801,RL_1B_193522,VI,"pH-6.5-9.5, ESW-12",,Yes,Yes,1,NA,5.518201954,429,1025,680.6610141,122.7456859,596,0,42.98617172,21.33118856,6.963817891,42.98617172,2516.76,1466.65,99.08509288,57.74215717,NA,BGR11353,1,Riffle,200,Small,Mountain,SmallMountainFall,MountainFall
VDEQ_BUG,Ref,NA,1BBRY005.09,1BBRY005.09_2010_Spring,2010,Spring,137,5/17/2010,0.97 rm d.s. conf. w/ Hone Quarry Run,38.44217778,-79.10191667,67,Ridge and Valley,67b,Northern Shale Valleys,PS14,VRO,Valley,Briery Branch,N,PS,Briery Branch,207000504,Shenandoah River Basin,1B,Potomac-Shenandoah,Rockingham,165,20700050403,RL_1B_188197,IV,pH-6.5-9.5,,,,2,2,29.72708515,491,1338,827.3828518,169.9414472,847,0,46.71431351,17.76500281,7.88770438,46.71431351,8076.22,952.86,317.961589,37.51419349,NA,BRY761,1,Riffle,200,Small,Mountain,SmallMountainSpring,MountainSpring
VDEQ_BUG,Ref,NA,1BBRY005.09,1BBRY005.09_2010_Fall,2010,Fall,292,10/19/2010,0.97 rm d.s. conf. w/ Hone Quarry Run,38.44217778,-79.10191667,67,Ridge and Valley,67b,Northern Shale Valleys,PS14,VRO,Valley,Briery Branch,N,PS,Briery Branch,207000504,Shenandoah River Basin,1B,Potomac-Shenandoah,Rockingham,165,20700050403,RL_1B_188197,IV,pH-6.5-9.5,,,,2,2,29.72708515,491,1338,827.3828518,169.9414472,847,0,46.71431351,17.76500281,7.88770438,46.71431351,8076.22,952.86,317.961589,37.51419349,NA,BRY1332,1,Riffle,200,Small,Mountain,SmallMountainFall,MountainFall
VDEQ_BUG,Ref,NA,1BBRY006.55,1BBRY006.55_2016_Spring,2016,Spring,112,4/21/2016,0.4 miles downstream Tilghman Rd,38.43988889,-79.118475,67,Ridge and Valley,67d,Northern Dissected Ridges and Knobs,PS14,VRO,Valley,Briery Branch,N,PS,Briery Branch,207000504,Shenandoah River Basin,1B,Potomac-Shenandoah,Rockingham,165,20700050403,RL_1B_188179,VI,,,Yes,,1,1,15.92676266,528,1338,829.5381476,166.6556239,810,0,46.71431351,17.31435456,7.891020822,46.71431351,5100.46,952.86,200.8056202,37.51419349,NA,BRY8507,1,Riffle,200,Small,Mountain,SmallMountainSpring,MountainSpring
VDEQ_BUG,Ref,NA,1BBRY006.55,1BBRY006.55_2016_Fall,2016,Fall,278,10/4/2016,0.4 miles downstream Tilghman Rd,38.43988889,-79.118475,67,Ridge and Valley,67d,Northern Dissected Ridges and Knobs,PS14,VRO,Valley,Briery Branch,N,PS,Briery Branch,207000504,Shenandoah River Basin,1B,Potomac-Shenandoah,Rockingham,165,20700050403,RL_1B_188179,VI,,,Yes,,1,1,15.92676266,528,1338,829.5381476,166.6556239,810,0,46.71431351,17.31435456,7.891020822,46.71431351,5100.46,952.86,200.8056202,37.51419349,NA,BRY9132,1,Riffle,200,Small,Mountain,SmallMountainFall,MountainFall
VDEQ_BUG,Ref,NA,1BCDR027.48,1BCDR027.48_2015_Spring,2015,Spring,132,5/12/2015,0.7 miles downstream Poplar Hollow,39.04466389,-78.44739167,67,Ridge and Valley,67b,Northern Shale Valleys,PS72,VRO,Valley,Cedar Creek-Duck Run,N,PS,Duck Run-Cedar Creek,207000606,Shenandoah River Basin,1B,Potomac-Shenandoah,Shenandoah,171,20700060602,RL_1B_229919,V,PWS pH-6.5-9.5,Yes,Yes,,3,NA,43.84435316,251,952,512.1440712,149.0707775,701,0,45.4140625,12.45879817,7.223514805,45.4140625,11487.61,909.89,452.2683545,35.82246029,NA,CDR7165,1,Riffle,200,Medium,Mountain,MediumMountainSpring,MountainSpring
VDEQ_BUG,Ref,NA,1BCDR027.48,1BCDR027.48_2015_Fall,2015,Fall,265,9/22/2015,0.7 miles downstream Poplar Hollow,39.04466389,-78.44739167,67,Ridge and Valley,67b,Northern Shale Valleys,PS72,VRO,Valley,Cedar Creek-Duck Run,N,PS,Duck Run-Cedar Creek,207000606,Shenandoah River Basin,1B,Potomac-Shenandoah,Shenandoah,171,20700060602,RL_1B_229919,V,PWS pH-6.5-9.5,Yes,Yes,,3,NA,43.84435316,251,952,512.1440712,149.0707775,701,0,45.4140625,12.45879817,7.223514805,45.4140625,11487.61,909.89,452.2683545,35.82246029,NA,CDR7803,1,Riffle,200,Medium,Mountain,MediumMountainFall,MountainFall
VDEQ_BUG,Ref,NA,1BCDR045.30,1BCDR045.30_2016_Fall,2016,Fall,301,10/27/2016,Off Rt. 713 .5mi upstr Van Buren Furnace,38.972696,-78.560813,67,Ridge and Valley,67b,Northern Shale Valleys,PS71,VRO,Valley,Cedar Creek-Paddy Run,N,PS,Paddy Run-Cedar Creek,207000606,Shenandoah River Basin,1B,Potomac-Shenandoah,Shenandoah,171,20700060601,RL_1B_201701,VI,pH-6.5-9.5,,Yes,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CDR9133,1,Riffle,200,Small,Mountain,SmallMountainFall,MountainFall
VDEQ_BUG,Ref,NA,1BCDR045.30,1BCDR045.30_2017_Spring,2017,Spring,109,4/19/2017,Off Rt. 713 .5mi upstr Van Buren Furnace,38.972696,-78.560813,67,Ridge and Valley,67b,Northern Shale Valleys,PS71,VRO,Valley,Cedar Creek-Paddy Run,N,PS,Paddy Run-Cedar Creek,207000606,Shenandoah River Basin,1B,Potomac-Shenandoah,Shenandoah,171,20700060601,RL_1B_201701,VI,pH-6.5-9.5,,Yes,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CDR9724,1,Riffle,200,Small,Mountain,SmallMountainSpring,MountainSpring
VDEQ_BUG,Ref,NA,1BCDR045.30,1BCDR045.30_2017_Fall,2017,Fall,306,11/2/2017,Off Rt. 713 .5mi upstr Van Buren Furnace,38.972696,-78.560813,67,Ridge and Valley,67b,Northern Shale Valleys,PS71,VRO,Valley,Cedar Creek-Paddy Run,N,PS,Paddy Run-Cedar Creek,207000606,Shenandoah River Basin,1B,Potomac-Shenandoah,Shenandoah,171,20700060601,RL_1B_201701,VI,pH-6.5-9.5,,Yes,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CDR10283,1,Riffle,200,Small,Mountain,SmallMountainFall,MountainFall
