Taxa,Phylum,Class,Subclass,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Final VA Family ID,FinalID,TolVal,FFG,Habit,FamFFG,FamTolVal,FamHabit
Pachydiplax,Arthropoda,Insecta,,Odonata,Anisoptera,,Libellulidae,,,Pachydiplax,Pachydiplax longipennis,Libellulidae,Pachydiplax longipennis,6,Predator,Sprawler,Predator,9,Sprawler
Penelomax,Arthropoda,Insecta,,Ephemeroptera,,,Ephemerellidae,,,Penelomax,Penelomax septentrionalis,Ephemerellidae,Penelomax septentrionalis,,,,Collector,4,Clinger
Potamyia,Arthropoda,Insecta,,Trichoptera,,,Hydropsychidae,,,Potamyia,Potamyia flava,Hydropsychidae,Potamyia flava,,Filterer,Clinger,Filterer,6,Clinger
Protoplasa,Arthropoda,Insecta,,Diptera,,,Tanyderidae,,,Protoplasa,Protoplasa fitchii,Tanyderidae,Protoplasa fitchii,,,Sprawler,Collector,7,Sprawler
Rasvena,Arthropoda,Insecta,,Plecoptera,,,Chloroperlidae,,,Rasvena,Rasvena terna,Chloroperlidae,Rasvena terna,,,,Predator,1,Clinger
Sperchopsis,Arthropoda,Insecta,,Coleoptera,,,Hydrophilidae,,,Sperchopsis,Sperchopsis tessellata,Hydrophilidae,Sperchopsis tessellata,,,Clinger,Predator,5,
Taenionema,Arthropoda,Insecta,,Plecoptera,,,Taeniopterygidae,Brachypteryinae,,Taenionema,Taenionema atlanticum,Taeniopterygidae,Taenionema atlanticum,3,,Sprawler,Shredder,2,Sprawler
Teloganopsis,Arthropoda,Insecta,,Ephemeroptera,,,Ephemerellidae,,,Teloganopsis,,Ephemerellidae,Teloganopsis deficiens,3.6,Collector,Clinger,Collector,4,Clinger
Timpanoga,Arthropoda,Insecta,,Ephemeroptera,,,Ephemerellidae,,,Timpanoga,Timpanoga hecuba,Ephemerellidae,Timpanoga hecuba,4.75,Collector,Clinger,Collector,4,Clinger
"Americaenis- not in VA database, ",,,,,,,,,,,,,,,,,,,
Ansiocentropus- sp? Anisocentropus,,,,,,,,,,,,,,,,,,,
"Astioplax dolani- renamed ephemerellidae, Asioplax dolani in VA",,,,,,,,,,,,,,,,,,,
Chironomidae (A)- Chironomidae,,,,,,,,,,,,,,,,,,,
Glossophoniidae- none from 69; hirudinea,,,,,,,,,,,,,,,,,,,
"Helobdellidae- none in 69, hirudinea",,,,,,,,,,,,,,,,,,,
"Libellulidae/Cordullidae- rare, corduliidae in VA",,,,,,,,,,,,,,,,,,,
Lymnaidae- sp? Lymnaeidae,,,,,,,,,,,,,,,,,,,
Nematomrpha- sp Nematomorpha,,,,,,,,,,,,,,,,,,,
Nematopmorpha-sp Nematomorpha,,,,,,,,,,,,,,,,,,,
"Nemoura- Rare, high elevation ",,,,,,,,,,,,,,,,,,,
Neopleiidae- not a family,,,,,,,,,,,,,,,,,,,
Phyrganaeidae- Phryganaeidae,,,,,,,,,,,,,,,,,,,
Phyrganea- Phryganea,,,,,,,,,,,,,,,,,,,
Potmayia flava- Potamayia flava,,,,,,,,,,,,,,,,,,,
"Pyralidae- rare, erroneous ID?, not aquatic- remove",,,,,,,,,,,,,,,,,,,
Sphaeriidae- changed to Pisidiidae,,,,,,,,,,,,,,,,,,,
Stratiomyiidae- sp Stratiomyidae,,,,,,,,,,,,,,,,,,,
