StationID,BenSampID,Collection Date,Collection DateTime,RepNum,Acentrella,Acerpenna,Acroneuria,Agnetina,Allocapnia,Amphinemura,Anchytarsus,Ancylidae,Ancyronyx variegatus,Antocha,Argia,Asellidae,Atherix,Baetidae,Baetis,Baetisca,Bezzia,Boyeria,Brachycentrus,Caenis,Cambaridae,Capniidae,Ceratopsyche,Cheumatopsyche,Chimarra,Chironomidae,Cinygmula,Corbicula,Corydalus,Crangonyctidae,Dicranota,Diplectrona,Dolophilodes,Drunella,Dubiraphia,Eccoptura xanthenes,Ectopria,Elmidae,Epeorus,Ephemerella,Ephemerellidae,Ephemeroptera,Eurylophella,Glossosoma,Gomphidae,Haploperla,Helichus,Hemerodromia,Heptageniidae,Heterocloeon,Hexatoma,Hydracarina,Hydropsyche,Hydropsyche/Ceratopsyche,Hydropsychidae,Hydroptila,Isonychia,Isoperla,Lepidostoma,Leptophlebiidae,Leucrocuta,Leuctra,Leuctridae,Lumbriculidae,Maccaffertium,Macronychus glabratus,Microcylloepus,Naididae,Neophylax,Nigronia,Oecetis,Oligochaeta,Optioservus,Oulimnius,Paragnetina,Paraleptophlebia,Perlesta,Perlidae,Perlodidae,Physidae,Pisidiidae,Planorbidae,Plauditus,Plecoptera,Pleuroceridae,Polycentropus,Probezzia,Promoresia,Prosimulium,Psephenus,Pteronarcys,Rhithrogena,Rhyacophila,Serratella,Simuliidae,Simulium,Stenacron,Stenelmis,Sweltsa,Taeniopteryx,Tallaperla,Teloganopsis deficiens,Tipula,Trichoptera,Tricladida
4AXVK001.44,XVK203R200,3/25/2009,2009-03-25T11:00:00Z,1,,,,,,,,,,,,6,,,,,,,,,,16,,,,69,,,,9,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,26,,,,,,1,,,,,,,,,,,2,,,,,5,,,,,,,,,,6,,,,,,,,,
6CLIB001.06,LIB77R200,5/4/2009,2009-05-04T15:10:00Z,1,4,,,,,25,,,,,,,2,,,,,,,,,1,,1,5,27,,,,,,,,2,,,,,1,2,,3,,,7,,,1,11,,,,,,,,2,,,,,,,,3,,,,,,,1,6,,,15,,4,,,,,11,,3,1,,,,6,,,,2,,2,1,43,,3,,,1,,
3-BRK002.64,BRK57R200,5/6/2009,2009-05-06T12:00:00Z,1,,,,,,,,,,,,,,,,,,,,,,,,1,,53,,6,,,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,8,1,,,35,,,,,,,,,,,,8,1,2,,,,,,,,,,,,,,10,,1,,,,,,,1
6BMLG000.55,MLG717,6/2/2009,2009-06-02T12:20:00Z,1,8,,,,,1,,,,,,,,4,17,,,,,,,,1,13,,52,,,,,,,8,,,,,,,,,,,,1,,,,,,,1,,,2,,,,,2,,6,,1,5,,,2,,,,,18,,,,6,,,,,,,,,,,,,16,,,,,,1,,4,,1,,,,,
6BLUC000.73,LUC711,6/2/2009,2009-06-02T11:35:00Z,1,,,,,,,,,,3,,14,,4,2,,,,,,,,,1,,10,,,,,,,,,6,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,47,,,,,,,,1,,3,,10,,,,,2,,,,,,,1,,,,,,,,
6BDAK001.71,DAK677,6/3/2009,2009-06-03T14:15:00Z,1,3,,,,,,,,,,,85,,,5,,,,,,,,,5,,13,,,,,,1,1,,,,2,,,,,,,,,,,1,,,,,,,,,1,,,2,,13,,1,,,,,,,,,7,,,,2,,,,,,,,7,,,,,7,,,3,,,2,,,2,,19,,,,
6BGSY000.25,GSY682,6/3/2009,2009-06-03T15:10:00Z,1,22,,,,,1,,,,,,,,10,15,,,,,5,,,2,8,,20,,,,,,,,,,,,,,,,,,,,,,,1,,,,4,,2,,,,,7,,10,,,2,,,,2,,,,16,,,,5,,,,,,,,15,,,,,16,,,1,2,,5,,13,,,1,,,,
6BIDN003.15,IDN697,6/3/2009,2009-06-03T11:47:00Z,1,21,,,,,,,,,1,,5,,18,35,,,,,,,,,2,,5,,,,,,1,7,8,,,,,6,1,,,,,,,,,1,,,2,,,,,,,,2,1,15,,1,1,,,,,,,,17,,,,,,,,1,,,,9,,,,,5,,,,,,15,1,,,,,,,,
6BLTL007.84,LTL701,6/3/2009,2009-06-03T12:45:00Z,1,4,,,,,2,,,,2,,6,,9,11,,,,,,1,,,1,,19,,,,,,,,,,,2,,,10,,,1,,,,,,3,,,9,,,2,,,,,11,,4,,,,,,,1,,,,52,,,,,1,,,,,,,34,,,,,1,,,,,,,,,,,,,1,,
6BTMP006.26,TMP745,6/3/2009,2009-06-03T10:45:00Z,1,4,,,,,,,,,3,,,,2,7,,,,,,,,1,,,62,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,5,,1,,,,,53,,,,,,,,,,,10,,,,1,,,,,,,,12,,,,,6,,,,,,4,,8,,,,,,,
6BPLC000.49,PLC733,6/3/2009,2009-06-03T12:00:00Z,1,,,,,,,,,,6,,4,,7,14,,,,,,,,,2,,8,,,,,,,,3,,,,,2,,3,,,2,,,,,,,,,,,6,,,,,,1,69,,,3,,,,,1,,,10,,,,,,,,,,,,21,1,1,,,8,,,1,,,1,,,,,3,,,,
6BCOC001.19,COC673,6/3/2009,2009-06-03T14:15:00Z,1,,,,,,,,,,,,,,21,3,,,,,,,,2,,,16,,,,,,1,4,2,,,,1,2,2,,,,,,,,,3,,,1,,,5,,,1,1,,,51,,,1,,,,,,,,5,11,,,1,,,,,,,2,1,2,,,,2,,,6,,,,,,,,29,,,,
6BNFC022.47,NFC721,6/4/2009,2009-06-04T10:50:00Z,1,11,,,,,,,,,2,,1,,13,23,,,,,1,,,2,16,2,69,,,,,,,1,4,,,,,3,,,,,,,,,,,,,3,2,,1,,4,,,2,2,2,,1,,,,6,1,2,,,5,,,,1,,,,,,,,,,,,,1,,,,,,17,,1,,,,,,,
6BXGD000.01,XGD141,9/30/2009,2009-09-30T10:45:00Z,1,,,,,,,,,,,,127,,,4,,,,,,1,,,13,,14,,,,,,4,,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,2,2,,,,,,,,1,,,,6,,,,,,,,,,,3,2,,,,1,,,1,
6BXGD000.01,XGD141R200,9/30/2009,2009-09-30T10:45:00Z,1,,,,,,,,,,,,127,,,4,,,,,,1,,,13,,14,,,,,,4,,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,2,2,,,,,,,,1,,,,6,,,,,,,,,,,3,2,,,,1,,,1,
6APAW001.22,PAW140,10/7/2009,2009-10-07T11:50:00Z,1,1,,1,,,,,,,,,,,,,,,,,,,,6,73,13,11,,,,,,,,,,,,11,,,,,,,4,,,1,,,,,2,,,,3,,,,,1,,,,,,,,5,,,10,,,,,,,,,,,1,,,,,,5,,,2,,,2,,,,47,,,,,
6APAW001.22,PAW140R200,10/7/2009,2009-10-07T11:50:00Z,1,1,,1,,,,,,,,,,,,,,,,,,,,6,73,13,11,,,,,,,,,,,,11,,,,,,,4,,,1,,,,,2,,,,3,,,,,1,,,,,,,,5,,,10,,,,,,,,,,,1,,,,,,5,,,2,,,2,,,,47,,,,,
6CLIB001.06,LIB138,11/5/2009,2009-11-05T11:00:00Z,1,1,,,,,,,,,,,,2,,,,,,,,,,3,6,2,34,,,,,,,,,,,,,1,,4,,3,,4,,,1,10,,,1,,,,,5,,,22,,1,,,12,,,,,,,1,16,,,15,,,,,,,,,,,,,,3,,,1,15,,2,1,3,,11,,,,,
6CLIB001.06,LIB138R200,11/5/2009,2009-11-05T11:00:00Z,1,1,,,,,,,,,,,,2,,,,,,,,,,3,6,2,34,,,,,,,,,,,,,1,,4,,3,,4,,,1,10,,,1,,,,,5,,,22,,1,,,12,,,,,,,1,16,,,15,,,,,,,,,,,,,,3,,,1,15,,2,1,3,,11,,,,,
1ACUB004.63,CUB128R200,11/18/2009,2009-11-18T10:15:00Z,1,,,,,,,,4,,,14,,,,,,,,,15,,,,18,,7,,11,2,29,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,10,,1,1,,,,,,,,,,,,8,,7,,,,,,,,,,,,,,1,2,2,,,,,10,,7
9-FXC017.18,FXC136R200,11/24/2009,2009-11-24T13:16:00Z,1,9,,,,,,,5,,2,,,,2,,,,,,,,1,7,2,,22,,,,,1,11,9,,,,,2,26,,3,,,,,8,,,4,,1,,,,1,,,2,3,8,,2,6,,1,,,,,,,9,6,3,,10,,,,,,,,8,,1,,,8,,,,4,3,,1,,,,,2,,,,
9-FXC017.18,FXC136,11/24/2009,2009-11-24T13:16:00Z,1,9,,,,,,,5,,2,,,,2,,,,,,,,1,7,2,,23,,,,,1,11,9,,,,,2,26,,4,,,,,9,,,4,,1,,,,1,,,2,3,8,,2,6,,1,,,,,,,9,6,4,,11,,,,,,,,8,,1,,,8,,,,4,3,,1,,,,,2,,,,
4AXVK001.44,XVK204R200,11/30/2009,2009-11-30T10:30:00Z,1,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,12,,,,,,,,,,,,,,,,,,,,,2,,,15,,,,,,,1,,
4AWNN000.10,WNN1109,3/22/2010,2010-03-22T10:45:00Z,1,,6,,,,14,,,3,,,,,,2,,,,,6,2,,,,,58,,,,3,,1,,,1,,,1,,27,,,10,,,,,,5,,,,,,,,,2,,5,,,,,4,3,,,,,,7,,,2,,1,,10,,,,,,,,,,,,2,,,,,,,1,,,,,4,,
2-BNF003.52,BNF728,3/23/2010,2010-03-23T12:50:00Z,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,8,12,,,,,3,1,,,,,,41,93,5,,,,,,,,4,,1,,,,,,,3,3,2,,,1,,,,,,1,,,6,,3,,4,,2,,,,,,,,,,,5,,,,3,,,,,,1,,1,,,,
2-PMC000.59,PMC636,3/30/2010,2010-03-30T11:30:00Z,1,,,,,,21,,,,1,,,,,4,,,,,,,,,10,1,16,10,,,,,,,,,,,,20,32,21,,,,,,,,12,,1,,,,,,7,4,,,,,,1,11,,,,1,,,,1,9,,,,,,,,,,3,,,,,4,,,,4,,,2,,,,,,,,,
2-CRG074.32,CRG635,4/1/2010,2010-04-01T10:30:00Z,1,,,4,,,3,,,,,,,,2,,,1,,,,,,,,,9,11,,,,,,,,,,,,5,14,13,,,,1,,1,,16,,1,,,,,,,1,,,,,,,2,,,,,1,,3,,,,2,,,,,,,,7,,,,,110,,1,,1,,,2,,1,3,,,,1,,
2-CWP050.66,CWP757,4/5/2010,2010-04-05T13:40:00Z,1,7,,2,,,3,,,,,,,,,,,,,,1,,,,1,5,3,,,1,,,,,20,1,,,1,7,4,1,,,,,,,,2,,,2,1,,,,1,,,,,,,,7,,,,,,,,1,1,,,,,,,,,2,,22,,,6,1,2,,,,4,,49,,17,,,,,,,
4ASDE002.65,SDE1113,4/5/2010,2010-04-05T11:20:00Z,1,,1,,,,11,,,1,,,,,2,,,,,,,,,,,,59,,,,,,,,,,1,,,,5,3,,15,,,,1,,,1,,,,,,,1,,,,,,3,,1,,,,,1,,2,,,,,,,1,,,,42,,,,,,,,,,,,,59,,,,,,,,,
2-BUF026.43,BUF704,4/6/2010,2010-04-06T11:00:00Z,1,7,,,,1,3,,,,,,,,,,,,,,,,,9,10,1,12,,,2,,,,1,6,,,,,3,110,3,,1,,,,,1,3,,,3,,,1,,2,1,,,,,,,6,,,,,1,1,4,,,,,,,,,,,,,,,,,,,,1,,1,,,,2,,,,,,,
2-CAT028.98,CAT638,4/7/2010,2010-04-07T14:45:00Z,1,2,,,,,4,,,,1,,,,,,,,,,,,,,1,1,14,,1,1,,,,,,,,2,,,59,3,,,,,,,1,,,,,10,,1,,2,39,,,,,,,10,,2,,,1,,,,,,,,,,,,,,,6,,,,1,3,,,,,,26,,16,,,,,,,
4ARNF015.22,RNF1245,4/7/2010,2010-04-07T10:00:00Z,1,,,,,,4,,,,1,,,,,1,,,,,,,,,4,,14,,,,,,,,,,,,,,69,9,,,,,,,1,,,,,1,,,,3,,,,,,,2,6,,2,,,,,,1,1,,,,,1,,,,,2,4,,,,1,1,,,,2,,30,,52,,,,,,,
1AXLR000.44,XLR688,4/12/2010,2010-04-12T13:00:00Z,1,,3,,,,102,,,,,,,,,,,,,,1,4,,,1,,30,,,,1,,1,,,,2,,,,,,,4,,1,,2,,,,2,,,,,,,5,,2,,,,1,5,,,6,,3,,,,,,5,,,,,1,,,,,,,,,,,,,,,,10,,,,,,2,,
4AXVN001.55,XVN1108,4/12/2010,2010-04-12T12:30:00Z,1,,,,,,61,1,,,,,,,1,,1,,,,,,,,2,,56,,,,,,,,,4,1,,1,,11,1,,5,,,,1,,1,,,,,1,,,1,1,3,2,,,11,,1,,,,,,,1,,,,,,1,,,,,10,,5,,,,,,,,,2,,21,,,,,,,1,,
4ACEC001.24,CEC639,4/14/2010,2010-04-14T11:00:00Z,1,1,,2,,,43,,,,,,,,,2,,,,,,,1,,,,21,,,,,,1,1,,,,,,9,94,2,,,,,,,,2,,,,,,,,,1,,,,,,,6,,,,,,,,1,2,,,,,1,,,,,2,1,,,,,4,,,5,,,6,,1,1,,2,,,,
1AHOR005.48,HOR687,4/15/2010,2010-04-15T13:15:00Z,1,,,,,,,,,,1,,,,,10,,,,,,,,,6,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,25,,,,,1,,
4ASRE032.38,SRE746,4/20/2010,2010-04-20T13:00:00Z,1,3,,,,,3,,,,4,,,,,6,1,,,,,,,,11,1,49,,,,,,,,,,,,4,,28,10,,,,1,,,1,2,,,,11,,,,,3,,,,,,,,1,,,,,,3,4,13,,,,,2,,,,,4,2,,,9,,,,2,1,,,16,,,,,1,,,,
1ACUB004.63,CUB706,4/20/2010,2010-04-20T11:00:00Z,1,,,,,,,,,,,,,,,2,,,,,4,,,,1,,90,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1,,,,,,42,,13,,,,,,,16
6ASAT003.60,SAT1103,4/22/2010,2010-04-22T11:45:00Z,1,50,,,,,2,,,,,,,,17,9,,,,,,,,1,3,,34,,,1,,,,,,,,,8,,,,,,,,,,5,,,,,,,2,,7,,,,,,,,5,,,15,,,,2,,5,,,,,,,,,25,,,,,,,3,,,,1,,1,,,,,,,,,
4AIVV002.00,IVV1156,4/26/2010,2010-04-26T11:30:00Z,1,15,,3,,,,,,,,,,,,2,,,,,,1,,,3,,26,,,,,2,,18,12,,,,2,13,35,,,,,,,,,2,,,,,,,,,1,,,,,,2,5,,,,,1,,,8,5,,,,,,,,,,2,2,,,1,,2,1,5,3,2,,25,,,,,,,1,,
2-POL010.11,POL631,4/26/2010,2010-04-26T10:35:00Z,1,3,,,,,,,,,,1,,,,2,,,,,,,,,1,1,68,,1,,,,,,9,,,,5,,4,,,2,,,,,1,,,,2,,,,,,,,,,,,,1,,,,,,,5,2,2,,1,,,,,,,13,1,7,,,6,,1,,,,,1,14,,40,,,,,1,1,
2-POL019.63,POL730,4/26/2010,2010-04-26T13:10:00Z,1,24,,1,,,2,,,,3,,,,,,,,,,,,,1,8,1,36,1,,1,,,,1,12,,,,2,5,28,,,3,,2,,,1,1,,1,10,,,,,2,1,,,,4,,,6,,,,,,,5,2,3,,,,1,,,,,13,,,,,,,3,,1,1,4,,13,,1,,,,,,1,
1BSTH005.36,STH759,4/27/2010,2010-04-27T09:15:00Z,1,7,,1,1,,,,,,,1,,,2,3,,,,,2,,,,,,121,,,,,,,,,,,,,,21,,,,,,,,,3,1,,,,,,,1,,,,,,,,1,,1,5,,,,,6,,,,,1,,,,,,,,,,,,9,,,,1,,8,,9,,,,,,,
9-SNC008.04,SNC1155,4/28/2010,2010-04-28T14:00:00Z,1,24,,5,3,,6,,,,1,,,,1,,,,,,,,,,26,,12,2,,,,,,32,11,,,,,14,3,,,,,1,,,,,,7,,8,,,,,2,,,,3,,,5,,,,,1,,,,,,17,,,2,,,,,2,,1,,,3,,,2,2,11,,7,,,3,,,,,,
2-GIM002.52,GIM756,5/3/2010,2010-05-03T10:00:00Z,1,32,,,,,23,,,,,,,,11,10,,,,,,,,,1,,15,38,,,,,,1,,,,,1,6,6,2,,,,,,,,5,,,,,,1,,,5,,14,,,,,1,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,
9-SFK003.38,SFK1077,5/5/2010,2010-05-05T11:40:00Z,1,5,,,,,2,,,,,,,,3,2,,,,,,,,,1,,88,18,,,,,,13,3,,,,,,11,,,,,,2,,,4,,,,,,,,,3,,1,,,26,,,,,,,,,,,1,,2,,,,,,,2,,,,,,,3,,,,,,3,,,,,,,,,
6CSFH099.18,SFH1107,5/10/2010,2010-05-10T11:00:00Z,1,28,,,,,2,,,,1,,,,3,11,,,,2,,1,23,1,,,16,,,,,,,2,7,,,,,9,1,2,,,,,,,1,6,,,2,1,,,,4,,,2,,,,,4,,,,,,,,32,3,,3,,,,,,,,,,3,,,,13,,2,,3,,13,2,2,,,,,1,1,
6CSFH082.78,SFH1105,5/10/2010,2010-05-10T13:45:00Z,1,16,,,,,,,,,2,,,,3,19,,,,42,,1,1,3,2,,26,,,,,,,,1,,,,,2,2,,,,,,,,1,,,,,4,,2,,3,,,,,,,,,,,1,,,,,17,,,3,1,,,,,,,,3,,,,,4,,,1,15,,14,,15,,,,,,,
6BMTN003.94,MTN1082,5/11/2010,2010-05-11T10:45:00Z,1,21,,,,,,,,,,,,,5,7,,,,,,,,,1,,29,,,,,,,,,,,1,,1,,2,,,6,1,,,1,4,,,,,,1,,,,,,,,1,,7,,,1,1,3,,,24,,,,,,,,,,4,,15,,,,,20,,,,5,,16,1,9,,,,,,,
2-JKS076.16,JKS754,5/12/2010,2010-05-12T11:00:00Z,1,12,,4,,,,,,,,,,,2,3,,,,,,,,,12,3,39,,,,,,,,8,,,,,3,8,7,,,,,,,2,4,,,2,2,,,,3,,,,2,,,,9,,,,,,,,21,,,,,,,,,,,,3,,,,,6,,,,13,,4,1,15,,,,,,,
8-RDB003.36,RDB695,5/12/2010,2010-05-12T12:15:00Z,1,,,,,,,1,,,,,,,,,,,,,1,2,,,3,,2,,,,,,1,,,,,,,,2,,,2,,,,,,,,,,,,,,109,11,,,,,,,1,,,,,,,,1,,,2,30,,,,5,,5,,,,,,,,,,,,,,,1,,,,,1,,
9-ISL003.05,ISL1106,5/13/2010,2010-05-13T10:45:00Z,1,1,,,,,,,,,,,,,3,27,,,,,,,,,,,61,,,,,,1,4,,,,,3,4,2,,,,,,,,,1,10,,,,,,,,,,5,,10,3,,3,,,17,,,,,2,1,,,,,,,,,,,,,,,,,,,,13,,,,4,,1,,,,,
4AWLF001.20,WLF,5/13/2010,2010-05-13T11:45:00Z,1,18,,1,,,,,,,,,,,1,7,,,,,,,,,9,,58,,,,,,3,,,,1,,,,2,,,,,,,,1,1,,,,8,,,,27,1,,,,,,,1,,,,,,,,5,1,,,,1,,,,,,,,,1,,,,,,,3,,57,,,,,,,1,,
2BXAC000.38,XAC614,5/13/2010,2010-05-13T11:10:00Z,1,,,,,,4,,,,,,,,1,,,2,,,,,,,,,102,,,,1,,5,3,,,,,,,5,,,,,,,,,1,,2,,,,,,,4,1,2,,33,1,,1,,,,,,,1,,3,,7,,1,4,,,,1,,,,,,,,,,3,,,,,2,,,5,,,,
1BBRY005.09,BRY761,5/17/2010,2010-05-17T09:00:00Z,1,16,,4,1,,4,,,,1,,,,4,,,,,,,,,,2,,28,,,,,,,,3,,,,,4,21,2,,,,,,,,3,,,,1,,,,6,2,,,,18,3,1,,,,,,,,,,1,,5,,2,,,,,1,,,,1,,,,,,4,16,,15,,,,1,,,,,
2-NOR003.28,NOR615,5/18/2010,2010-05-18T11:20:00Z,1,,,,,,2,,,,7,,,,,8,,1,,,1,,,,92,,50,,,,1,,1,,,,2,,,,,,,3,,,,,,,,,,9,,7,,1,,,,,,,,2,,,,,,,17,,,,,4,,,,,,2,,,,,,,,,,,,,1,,1,,,,,3,,
2-NOR003.59,NOR616,5/18/2010,2010-05-18T12:50:00Z,1,,,,,,,,,1,1,,1,,,,,2,,,,,,,3,,184,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,1,,,,,2,,2,,,2,,,,,,1,4,1,,,,,,,,,,5,,,,,,,,,,,,,1,,,,,,,,,
4AXVK001.44,XVK1110,5/19/2010,2010-05-19T13:30:00Z,1,,1,,,,,,,,,,2,,,,,,,,,,,,,,153,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,30,,,,,,,,,
3-XHQ000.35,XHQ692,5/24/2010,2010-05-24T12:00:00Z,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,68,,,,,,,,,,,,,,,,,,,,,,,
4ACNT003.84,CNT1242,5/25/2010,2010-05-25T10:30:00Z,1,2,,,,,,,,1,,1,,,4,,,,,3,42,,,,14,,38,,,,,,,,,15,,,,,,2,,2,,,,2,,2,2,,,,,4,,2,,,1,,,2,,2,2,1,,,1,,1,3,1,,,2,,,,1,,,,1,,,1,,1,,,,3,,1,4,,,,,,2,1,
2-RKI003.40,RKI618,5/27/2010,2010-05-27T11:30:00Z,1,1,,2,,,,,,,1,,,,5,3,,,,,,,,3,1,1,37,,,1,,4,1,,,,,,,1,1,1,,,,,,,,7,,1,,1,18,,1,11,,,3,1,10,,,12,,,,2,,,6,4,2,,1,4,5,,,,,27,,,1,,3,,,,,,5,,3,,5,,,,,,,
6CSGT000.39,SGT1078,6/1/2010,2010-06-01T13:45:00Z,1,4,,,2,3,2,,,,,,,,4,16,,,,,,,12,2,,,14,,,,,3,,18,1,,,,4,8,2,,,,,,1,,,14,,20,,,,3,,1,1,,13,1,,,,,,,,,1,,3,,8,,4,1,,,,,,,,,,,,,5,,1,,16,,1,,1,,,,,2,1,
6CWLC000.79,WLC1074,6/1/2010,2010-06-01T15:10:00Z,1,12,,2,2,3,,,,,,,,,4,14,,,,,,,11,1,1,,13,,,,,,,15,2,,,,1,11,1,,,,,3,,,,7,,,,,,2,,4,,,11,,,,,2,,,,,,,1,1,,1,23,,3,,,,,,,,,,1,,17,,3,1,10,1,,,1,,,,,1,,
6BCRC002.17,CRC1075,6/2/2010,2010-06-02T12:30:00Z,1,1,,,,2,4,,,,,,,,4,7,,,,,,,9,,,,14,,,,,1,4,50,1,,,,2,17,1,1,,,,,,,,25,,,,,,,,2,,,3,,3,,,,,,,,,,,,4,,1,,,1,,,,,4,,1,,,,,5,,5,,,5,,,,,,,1,1,
