StationID,Collection Date,BenSampID,Collection DateTime,RepNum,Acentrella,Acerpenna,Acroneuria,Allocapnia,Amphinemura,Anchytarsus,Ancylidae,Ancyronyx variegatus,Antocha,Argia,Asellidae,Atherix,Baetidae,Baetis,Bezzia,Bezzia/Palpomyia,Boyeria,Brachycentrus,Caenis,Calopteryx,Cambaridae,Capniidae,Ceratopsyche,Cheumatopsyche,Chimarra,Chironomidae,Cinygmula,Corbicula,Corydalus,Crangonyctidae,Dicranota,Diplectrona,Dolophilodes,Drunella,Dubiraphia,Eccoptura xanthenes,Ectopria,Elmidae,Epeorus,Ephemerella,Ephemerellidae,Eurylophella,Glossosoma,Gomphidae,Haploperla,Helichus,Hemerodromia,Heptageniidae,Heterocloeon,Hexatoma,Hydracarina,Hydrobiidae,Hydropsyche,Hydropsyche/Ceratopsyche,Hydropsychidae,Hydroptila,Isonychia,Isoperla,Lepidostoma,Leptophlebiidae,Leucrocuta,Leuctra,Lumbriculidae,Lype diversa,Maccaffertium,Macronychus glabratus,Microcylloepus,Naididae,Neophylax,Nigronia,Oecetis,Oligochaeta,Optioservus,Oulimnius,Paragnetina,Paraleptophlebia,Perlesta,Perlidae,Perlodidae,Physidae,Pisidiidae,Planorbidae,Plauditus,Plecoptera,Pleuroceridae,Polycentropus,Probezzia,Promoresia,Prosimulium,Psephenus,Pseudocloeon,Pteronarcys,Rhyacophila,Serratella,Simuliidae,Simulium,Stenacron,Stenelmis,Sweltsa,Taeniopteryx,Tallaperla,Teloganopsis deficiens,Tipula,Triaenodes,Trichoptera,Tricladida,Yugus,Zapada,Zealeuctra,Zygoptera
6BLTL007.84,9/30/2008,LTL700,2008-09-30T14:35:00Z,1,,,,,,,,,2,,7,,,1,,,,,,,,,1,18,,14,,,,,,,,,,,,,1,4,,,1,,,,,15,,,6,,,,,,4,,,21,,1,,,12,,,,,,,1,60,,,,,,,,,,,,14,,,,,6,,,,,,1,3,,,,,,,,,,,,,
6BTMP006.26,9/30/2008,TMP744,2008-09-30T11:20:00Z,1,1,,,,,,,,,,,,,1,,,,,,,,,,26,2,8,,,,,,2,,,,,5,,,,,,,3,,,,,,,1,,6,,5,,,,,,,,1,,12,,1,,,,,1,12,,,,,,,,,,,,4,,,1,,17,,,,,,26,,8,,,,,41,,,,,,,
6BCOC001.19,10/1/2008,COC672,2008-10-01T12:35:00Z,1,,,2,,,,,,,,,,,4,,,,,,,,,4,2,,5,,,,,,15,8,,,,,,15,,,,,,,,,,,,,,,,,,24,,,16,1,3,,,15,,,,,2,,,8,1,,,,,,,,,,,20,,,,,18,,,3,,,,,,6,,7,,2,,,,,,,
6BDAK001.71,10/1/2008,DAK676,2008-10-01T11:35:00Z,1,,,,,,,,,,,106,,,,,1,,,,,,,,,2,2,,,,,,6,3,,,,1,,,,1,,,,,,1,,,,,,,,,,19,1,,,,1,,,,,,,,,,,7,,,,,,,,,,,,14,,,,,9,,,,,,,,1,1,,3,,1,,,,1,,,
6BGSY000.25,10/1/2008,GSY681,2008-10-01T13:55:00Z,1,,,,,,,,,,,,,,4,,,,,1,,,,,2,,8,,,,,,,1,,,,,,3,,,,,,,,,23,,,,,,,6,,3,,,1,,,,,44,,,,1,,,,19,,,,,,,,,,,,4,,,,,11,,,,21,,3,2,3,,,1,,8,,,2,,,,
6BNFC022.47,10/1/2008,NFC720,2008-10-01T13:35:00Z,1,,,1,,,,3,,,2,,6,,6,,,,,7,,,,,10,2,14,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,14,,,,,,1,,11,,3,3,,3,,,40,,,,,,,,,,,,,,,,,36,,,,1,,3,,7,,,,,,,,,,,,
6BPLC000.49,10/1/2008,PLC732,2008-10-01T15:50:00Z,1,1,,,,,,,,,,7,,1,9,,,,,,,,,,19,,5,,,,,,,,,,,2,,10,,,,,,,,,1,,,2,,,,1,,,,,,5,11,2,,25,,,,,,,1,39,,,,,,,,,,,,24,1,,,,19,,,2,4,,2,6,,,,2,,6,,,,,,,
1ACUB004.63,3/18/2009,CUB54R200,2009-03-18T11:00:00Z,1,,,,,,,2,,,,,,,,,,,,1,,,,,5,,149,,3,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,6,,2,,,2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,17,,,,,,,,8,,,,
4AXVK001.44,3/25/2009,XVK203R200,2009-03-25T11:00:00Z,1,,,,,,,,,,,6,,,,,,,,,,,16,,,,69,,,,9,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,26,,,,,,,1,,,,,,,,,,,2,,,,,5,,,,,,,,,,6,,,,,,,,,,,,,,
2DWDY005.35,4/7/2009,WDY62R200,2009-04-07T10:50:00Z,1,5,1,,,7,,,,,,1,,,,,,1,,,,,,,,,65,,,,,,,,,4,,,,,67,1,7,,,,2,,1,,,1,,,,,,,,,,,,,,10,1,1,,,,,1,,,,1,1,,,,2,,,,,,,,,,,,,4,8,,,1,,,,,,,,,,,,
2-SFT025.32,4/28/2009,SFT16R200,2009-04-28T13:00:00Z,1,,,,,,,,,,,,,1,,,,,,14,,,,,1,,165,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,5,,,,,,,,,,,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
6CLIB001.06,5/4/2009,LIB77R200,2009-05-04T15:10:00Z,1,4,,,,25,,,,,,,2,,,,,,,,,,1,,1,5,27,,,,,,,,2,,,,,1,2,,,,7,,,1,11,,,,,,,,,2,,,,,,,,3,,,,,,,1,6,,,15,,4,,,,,11,,3,1,,,,6,,,,2,,2,1,43,,3,,,1,,,,,,,
3-BRK002.64,5/6/2009,BRK57R200,2009-05-06T12:00:00Z,1,,,,,,,,,,,,,,,,,,,,,,,,1,,53,,6,,,,,,,3,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,8,,1,,,35,,,,,,,,,,,,8,1,2,,,,,,,,,,,,,,10,,1,,,,,,,,1,,,,
5BXAT000.30,5/14/2009,PBXATTRO1AR200,2009-05-14T09:45:00Z,1,,,,,,,,,,,119,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-BEV002.00,5/27/2009,BEV78R200,2009-05-27T13:45:00Z,1,,,,,,,,13,,,,,,,,,4,,,1,,,,41,,52,,2,,,,,,,4,,,,,,,,,,,,,,,,,,1,,1,5,,,,,,,1,,3,31,6,2,,,1,,,,,,,,,12,1,3,,,,,,,,,3,,,,8,,,,,,,,,,,,,,,
8-AYL002.27,5/27/2009,AYL70R200,2009-05-27T12:00:00Z,1,,6,,,,,,1,,1,23,,,,,,,3,,,,,,4,3,71,,,,,,,,,,,,1,,,,,,,,,1,1,,,1,,14,,3,1,,,,,,,,,,2,,,,,,2,,,,,,,,,4,,,,,,,,,,4,,,,38,,,1,,,,,,,,,,,,
6BLUC000.73,6/2/2009,LUC711,2009-06-02T11:35:00Z,1,,,,,,,,,3,,14,,4,2,,,,,,,,,,1,,10,,,,,,,,,6,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,47,,,,,,,,1,,3,,10,,,,,2,,,,,,,1,,,,,,,,,,,,,
6BMLG000.55,6/2/2009,MLG717,2009-06-02T12:20:00Z,1,8,,,,1,,,,,,,,4,17,,,,,,,,,1,13,,52,,,,,,,8,,,,,,,,,,,1,,,,,,,1,,,,2,,,,,2,,6,1,,5,,,2,,,,,18,,,,6,,,,,,,,,,,,,16,,,,,,1,,4,,1,,,,,,,,,,
2-WRD005.40,6/3/2009,WRD80R200,2009-06-03T09:50:00Z,1,,5,,,,,1,3,,1,21,,,4,,,3,,,,,,,7,1,74,,,,,,,,,,,,,,,,4,,,,1,,1,,,1,4,1,,,,,,,,,6,,6,20,3,7,,,2,,1,2,,,,1,,,,,4,,,,,,,,1,,,,,,,3,,,,,,,,,,,,,
5AMRN000.38,6/3/2009,MRN79R200,2009-06-03T12:15:00Z,1,,,,,,,4,1,,,,,,,,,1,,,,1,,,,,121,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,1,,,,,,,,,,17,,,,,,,2,,,,,1,,,1,1,,,,,,,,,,8,,,,7,,,1,,,,,,,,,,,,
6BCOC001.19,6/3/2009,COC673,2009-06-03T14:15:00Z,1,,,,,,,,,,,,,21,3,,,,,,,,,2,,,16,,,,,,1,4,2,,,,1,2,2,,,,,,,,3,,,1,,,,5,,,1,1,,,51,,,1,,,,,,,,5,11,,,1,,,,,,,2,1,2,,,,2,,,6,,,,,,,,29,,,,,,,,,
6BDAK001.71,6/3/2009,DAK677,2009-06-03T14:15:00Z,1,3,,,,,,,,,,85,,,5,,,,,,,,,,5,,13,,,,,,1,1,,,,2,,,,,,,,,,1,,,,,,,,,,1,,,2,,13,1,,,,,,,,,,7,,,,2,,,,,,,,7,,,,,7,,,3,,,2,,,2,,19,,,,,,,,,
6BGSY000.25,6/3/2009,GSY682,2009-06-03T15:10:00Z,1,22,,,,1,,,,,,,,10,15,,,,,5,,,,2,8,,20,,,,,,,,,,,,,,,,,,,,,,1,,,,,4,,2,,,,,7,,10,,,2,,,,2,,,,16,,,,5,,,,,,,,15,,,,,16,,,1,2,,5,,13,,,1,,,,,,,,,
6BIDN003.15,6/3/2009,IDN697,2009-06-03T11:47:00Z,1,21,,,,,,,,1,,5,,18,35,,,,,,,,,,2,,5,,,,,,1,7,8,,,,,6,1,,,,,,,,1,,,2,,,,,,,,,2,1,15,1,,1,,,,,,,,17,,,,,,,,1,,,,9,,,,,5,,,,,,15,1,,,,,,,,,,,,,
6BLTL007.84,6/3/2009,LTL701,2009-06-03T12:45:00Z,1,4,,,,2,,,,2,,6,,9,11,,2,,,,,1,,,1,,19,,,,,,,,,,,2,,,10,,1,,,,,,3,,,9,,,,2,,,,,11,,4,,,,,,,1,,,,52,,,,,1,,,,,,,34,,,,,1,,,,,,,,,,,,,1,,,,,,,
6BPLC000.49,6/3/2009,PLC733,2009-06-03T12:00:00Z,1,,,,,,,,,6,,4,,7,14,,,,,,,,,,2,,8,,,,,,,,3,,,,,2,,3,,2,,,,,,,,,,,,6,,,,,,1,69,,,3,,,,,1,,,10,,,,,,,,,,,,21,1,1,,,8,,,1,,,1,,,,,3,,,,,,,,,
6BTMP006.26,6/3/2009,TMP745,2009-06-03T10:45:00Z,1,4,,,,,,,,3,,,,2,7,,3,,,,,,,1,,,62,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,5,,1,,,,,53,,,,,,,,,,,10,,,,1,,,,,,,,12,,,,,6,,,,,,4,,8,,,,,,,,,,,,
6BNFC022.47,6/4/2009,NFC721,2009-06-04T10:50:00Z,1,11,,,,,,,,2,,1,,13,23,,,,,1,,,,2,16,2,69,,,,,,,1,4,,,,,3,,,,,,,,,,,,3,,2,,1,,4,,,2,2,2,1,,,,,6,1,2,,,5,,,,1,,,,,,,,,,,,,1,,,,,,17,,1,,,,,,,,,,,,
3-CAT011.62,6/9/2009,CAT69R200,2009-06-09T11:00:00Z,1,,,,,,,,2,,,,,,,,,1,,,,,,,12,,42,,1,,,,,,,3,,,,,,,,,,,,,2,,,,,2,,,1,,,,,,,1,,40,9,,,,,,3,,,,,4,,,,,,,,,,,,,,6,,,,44,,,15,,,,,,,,,,,,
7-CMS002.00,6/9/2009,CMS15R200,2009-06-09T12:50:00Z,1,,,,,,,,,,,17,,,,,,1,,,,,,,17,11,59,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,7,,,,,1,,,,,11,4,11,,,,1,1,,,,,,,,4,12,,,,,,,,,,,,,,,10,,2,,,,,,,,,,,,
6BXGD000.01,9/30/2009,XGD141,2009-09-30T10:45:00Z,1,,,,,,,,,,,127,,,4,,,,,,,1,,,13,,14,,,,,,4,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,2,2,,,,,,,,1,,,,6,,,,,,,,,,,3,2,,,,1,,,,1,,,,,
6BXGD000.01,9/30/2009,XGD141R200,2009-09-30T10:45:00Z,1,,,,,,,,,,,127,,,4,,,,,,,1,,,13,,14,,,,,,4,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,2,2,,,,,,,,1,,,,6,,,,,,,,,,,3,2,,,,1,,,,1,,,,,
2-LIT002.40,10/5/2009,LIT121R200,2009-10-05T13:20:00Z,1,,,,,,,2,,,,,,,1,,,,,,,,,1,23,16,13,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,8,,,,,,,,,,108,,,,,3,,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,
6APAW001.22,10/7/2009,PAW140,2009-10-07T11:50:00Z,1,1,,1,,,,,,,,,,,,,,,,,,,,6,73,13,11,,,,,,,,,,,,11,,,,,,4,,,1,,,,,,2,,,,3,,,,,1,,,,,,,,5,,,10,,,,,,,,,,,1,,,,,,5,,,2,,,2,,,,47,,,,,,,,,,
6APAW001.22,10/7/2009,PAW140R200,2009-10-07T11:50:00Z,1,1,,1,,,,,,,,,,,,,,,,,,,,6,73,13,11,,,,,,,,,,,,11,,,,,,4,,,1,,,,,,2,,,,3,,,,,1,,,,,,,,5,,,10,,,,,,,,,,,1,,,,,,5,,,2,,,2,,,,47,,,,,,,,,,
2-WRD005.40,10/22/2009,WRD160,2009-10-22T15:00:00Z,1,,,,,,,7,3,,2,1,,,,,,,,,,,,,6,1,40,,3,,,,,,,4,,,,,,,9,,1,,1,,4,,,,10,2,,,,,,,,2,,,9,29,5,3,,,1,4,2,5,,,2,,,,,2,3,,,,,,,,1,,,,3,,,5,,,7,,,,1,,,,,,
2-WRD005.40,10/22/2009,WRD160R200,2009-10-22T15:00:00Z,1,,,,,,,7,3,,2,1,,,,,,,,,,,,,6,1,35,,3,,,,,,,2,,,,,,,9,,1,,1,,4,,,,8,1,,,,,,,,2,,,9,28,5,3,,,1,3,2,5,,,1,,,,,2,3,,,,,,,,,,,,2,,,5,,,7,,,,1,,,,,,
2DWDY005.35,10/27/2009,WDY177R200,2009-10-27T10:50:00Z,1,,,,,,,1,,,,2,,,,,,,,,4,,1,,1,,72,,,,,,,,,2,,,,,,,40,,,,1,,,,1,,,,,,,,,,19,,,,,10,,,,,,,4,,1,,22,,,,4,,2,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,
7-CMS002.00,11/3/2009,CMS174R200,2009-11-03T10:30:00Z,1,,,,,,,,,,,15,,,,,,,,,1,,,,13,4,95,,,,4,,,,,2,,,,,,,,,,,,,,,1,,,1,,3,,,,,,,,,4,12,,2,,,,,2,,,,7,,,,,3,,,,,,,,,,,,,,,2,,5,,,,,3,,,,,,,
7-CMS002.00,11/3/2009,CMS174,2009-11-03T10:30:00Z,1,,,,,,,,,,,15,,,,,,,,,1,,,,13,4,95,,,,4,,,,,2,,,,,,,,,,,,,,,1,,,1,,3,,,,,,,,,4,12,,2,,,,,2,,,,7,,,,,3,,,,,,,,,,,,,,,2,,5,,,,,3,,,,,,,
6CLIB001.06,11/5/2009,LIB138,2009-11-05T11:00:00Z,1,1,,,,,,,,,,,2,,,,,,,,,,,3,6,2,34,,,,,,,,,,,,,1,,4,3,,4,,,1,10,,,1,,,,,,5,,,22,,1,,,12,,,,,,,1,16,,,15,,,,,,,,,,,,,,3,,,1,15,,2,1,3,,11,,,,,,,,,,
6CLIB001.06,11/5/2009,LIB138R200,2009-11-05T11:00:00Z,1,1,,,,,,,,,,,2,,,,,,,,,,,3,6,2,34,,,,,,,,,,,,,1,,4,3,,4,,,1,10,,,1,,,,,,5,,,22,,1,,,12,,,,,,,1,16,,,15,,,,,,,,,,,,,,3,,,1,15,,2,1,3,,11,,,,,,,,,,
1ACUB004.63,11/18/2009,CUB128R200,2009-11-18T10:15:00Z,1,,,,,,,4,,,14,,,,,,,,,15,,,,,18,,7,,11,2,29,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,10,,1,1,,,,,,,,,,,,8,,7,,,,,,,,,,,,,,1,2,2,,,,,10,,,7,,,,
5BXAT000.30,11/18/2009,PBXATTRO2R200,2009-11-18T11:00:00Z,1,,,,,,,1,,,,97,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-FXC017.18,11/24/2009,FXC136R200,2009-11-24T13:16:00Z,1,9,,,,,,5,,2,,,,2,,,,,,,,,1,7,2,,22,,,,,1,11,9,,,,,2,26,,3,,,,8,,,4,,1,,,,,1,,,2,3,8,,2,,,1,,,,,,,9,6,3,,10,,,,,,,,8,,1,,,8,,,,4,3,,1,,,,,2,,,,,,,,,
9-FXC017.18,11/24/2009,FXC136,2009-11-24T13:16:00Z,1,9,,,,,,5,,2,,,,2,,,,,,,,,1,7,2,,23,,,,,1,11,9,,,,,2,26,,4,,,,9,,,4,,1,,,,,1,,,2,3,8,,2,,,1,,,,,,,9,6,4,,11,,,,,,,,8,,1,,,8,,,,4,3,,1,,,,,2,,,,,,,,,
4AXVK001.44,11/30/2009,XVK204R200,2009-11-30T10:30:00Z,1,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,12,,,,,,,,,,,,,,,,,,,,,2,,,15,,,,,,,1,,,,,,,
2-BEV002.00,12/16/2009,BEV173,2009-12-16T12:20:00Z,1,,3,,,,,,3,,3,,,,,,,,,,2,,,,9,,41,,3,,3,,,,,17,,,2,,,,,,,,,1,,,,,21,1,,,,,,,,,,,,21,12,7,,,,5,8,1,,,,,,,1,2,,,,,,,,1,,,,,,,3,,,,3,,,,,,,,,,
2-BEV002.00,12/16/2009,BEV173R200,2009-12-16T12:20:00Z,1,,3,,,,,,3,,3,,,,,,,,,,2,,,,9,,41,,3,,3,,,,,17,,,2,,,,,,,,,1,,,,,21,1,,,,,,,,,,,,21,12,7,,,,5,8,1,,,,,,,1,2,,,,,,,,1,,,,,,,3,,,,3,,,,,,,,,,
2-HRP000.42,3/8/2010,HRP664,2010-03-08T11:40:00Z,1,,,,,14,,,,,,,,,,1,,,,,,,,,3,,21,,,,,,1,,,,4,,,,100,16,2,,,,,1,,,,1,,,1,,,,2,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,,,,14,,,,,,,,,,,,,,4,,,,,,,
3-BMS002.00,3/16/2010,BMS1140,2010-03-16T11:40:00Z,1,,16,,,,,,3,,,2,3,,,,1,,,,1,,,,4,4,80,,,,,,,,,1,,,,,12,,4,,,,,,,,,1,,1,,,,,22,,,,,,6,9,7,1,,1,,2,1,,,,,,2,3,,1,,,,,,,,7,,,,,,,,,,,,,,1,,,,,,,
7-XCY000.46,3/16/2010,XCY1142,2010-03-16T13:10:00Z,1,,4,,,3,,,,,,,,,,,,,,,,,,,17,11,43,,,,,,,,,2,,,,,76,,,,,,,2,4,,,,,,,,,,14,,,,1,,,9,5,1,,,,1,2,,,,,,7,2,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
4AWNN000.10,3/22/2010,WNN1109,2010-03-22T10:45:00Z,1,,6,,,14,,,3,,,,,,2,,,,,6,,2,,,,,58,,,,3,,1,,,1,,,1,,27,,10,,,,,,5,,,,,,,,,,2,,5,,,,,4,3,,,,,,7,,,2,,1,,10,,,,,,,,,,,,,2,,,,,,1,,,,,4,,,,,,,
2-BNF003.52,3/23/2010,BNF728,2010-03-23T12:50:00Z,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,8,12,,,,,3,1,,,,,,41,93,5,,,,,,,4,,1,,,,,,,,3,3,2,,,,,,,,,1,,,6,,3,,4,,2,,,,,,,,,,,5,,,,3,,,,,,1,,1,,,,,,,,,
2-NUT000.62,3/23/2010,NUT1119,2010-03-23T11:15:00Z,1,,,,,1,,,4,,,,,,,,1,,,35,1,,,,3,,61,,,,,,,,,15,,,,,,,,,,,2,,1,,,2,,10,,,,,,,1,,,1,,14,,,1,,,,10,,,,,,,,,3,2,,,,,,,,,,,,,,,,19,,,,,,,,,,,,
2-BLB002.23,3/24/2010,BLB1138,2010-03-24T11:30:00Z,1,,1,,,4,,,,,1,1,,,5,,1,,,2,1,,,,2,,105,,,,,,,,,10,,,,,11,1,5,,,,,1,1,,,,1,,,,,,2,,,,,,,13,2,,2,,,3,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
2-SMN002.19,3/24/2010,SMN1139,2010-03-24T13:45:00Z,1,,,,,,,,7,,,,,,,,,,,,,,,,,1,129,,,,,,,,,1,,,,,,,2,,,,,,,,,,1,,,,,,7,,1,,,,,,3,,,,,,2,,,,,,,,,4,5,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
5ATLR006.84,3/25/2010,TLR1131,2010-03-25T12:30:00Z,1,,,,,2,,,14,,,1,,,,,,,,,1,,,,1,,87,,,,,,,,,4,,,,,3,,16,,,,1,,5,,,,,,,,,,1,,1,,,,2,12,2,3,,,,,4,,1,,,4,,,,1,1,,,,,,,,,,,,,,1,6,,,,,,,,,,,,,
2-PMC000.59,3/30/2010,PMC636,2010-03-30T11:30:00Z,1,,,,,21,,,,1,,,,,4,,,,,,,,,,10,1,16,10,,,,,,,,,,,,20,32,21,,,,,,,12,,1,,,,,,,7,4,,,,,1,,11,,,,1,,,,1,9,,,,,,,,,,3,,,,,4,,,,4,,,2,,,,,,,,,,,,,,
8-SHC001.59,3/31/2010,SHC1132,2010-03-31T12:00:00Z,1,,,,,,,,,4,,1,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,3,,9,,,,,3,3,,,1,,,,,,,,30,2,,,,,,15,,20,,,,,2,,,,,,,
2-CRG074.32,4/1/2010,CRG635,2010-04-01T10:30:00Z,1,,,4,,3,,,,,,,,2,,1,,,,,,,,,,,9,11,,,,,,,,,,,,5,14,13,,,1,,1,,16,,1,,,,,,,,1,,,,,,,2,,,,,1,,3,,,,2,,,,,,,,7,,,,,110,,,1,1,,,2,,1,3,,,,1,,,,,,,
1ACON002.88,4/5/2010,CON1137,2010-04-05T13:30:00Z,1,,2,,,,,,6,,,16,,,,,,,,,1,,,,1,,105,,,,,,,,,,,,,,,,1,,,,1,,2,,,,,1,,,,,,1,,,,,2,15,7,13,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,23,,4,,,,,,2,,,,,,
2-CWP050.66,4/5/2010,CWP757,2010-04-05T13:40:00Z,1,7,,2,,3,,,,,,,,,,,,,,1,,,,,1,5,3,,,1,,,,,20,1,,,1,7,4,1,,,,,,,2,,,2,,1,,,,1,,,,,,,,7,,,,,,,,1,1,,,,,,,,,2,,22,,,6,1,2,,,,4,,49,,17,,,,,,,,,,,,
