JRH_Final_Ref_Cod,DataSource,StationID,UID,Coastal,Latitude,Longitude,Sta_Desc,US_L3CODE,US_L3NAME,US_L4CODE,US_L4NAME,VAHU6,ASSESS_REG,OFFICE_NM,VaName,Tidal,VAHUSB,FedName,HUC10,Basin,BASIN_CODE,Basin_Code,CountyCityName,FIPS,BASINS_HUC_12,WQS_ID,WQS_CLASS,WQS_SPSTDS,WQS_PWS,WQS_TROUT,WQS_TIER_III,Order,EDASOrder,totalArea_sqMile,ELEVMIN,ELEVMAX,ELEVMEAN,ELEVSD,ELEVRANGE,SLPMIN,SLPMAX,SLPMEAN,SLPSD,SLPRANGE,wshdRain_mmyr,siteRain_mmyr,wshdRain_inyr,siteRain_inyr,wshedRain_inyr
Str,VDEQ_BUG,1AELC004.49,1AELC004.49_2017,FALSE,38.899431,-77.508614,0.76 mile upstream Rt. 620,64,Northern Piedmont,64b,Trap Rock and Conglomerate Uplands,PL45,NRO,Northern,Cub Run,N,PL,Cub Run,207001007,Potomac River Basin,1A,Potomac-Lower,Loudoun,107,20700100704,RL_1A_242366,III,g,,,,3,2,4.968902611,77,122,98.05338303,8.720109027,45,0,7.28176403,1.42381352,0.846352928,7.28176403,1011.55,1011.55,39.82482466,39.82482466,
Str,VDEQ_BUG,1AFLL000.88,,FALSE,38.867722,-77.463825,Rt. # 620  (Braddock Rd),64,Northern Piedmont,64a,Triassic Lowlands,PL45,NRO,Northern,Cub Run,N,PL,Cub Run,207001007,Potomac River Basin,1A,Potomac-Lower,Fairfax,59,20700100704,RL_1A_315332,III,g,,,,,2,,,,,,,,,,,,,,,,
Str,VDEQ_BUG,1AFOU002.06,1AFOU002.06_2015,FALSE,38.84316944,-77.07988889,Between West Glebe Rd. and I-395,65,Southeastern Plains,65n,Chesapeake Rolling Coastal Plain,PL25,NRO,Northern,Potomac River-Fourmile Run,T,PL,Fourmile Run-Potomac River,207001003,Potomac River Basin,1A,Potomac-Lower,Arlington,13,20700100301,RL_1A_317630,III,b,,,,2,2,13.69048756,10,137,77.97389908,24.523964,127,0,22.33592796,3.410894054,2.627430665,22.33592796,3214.2,126.5433754,,41.60553428,1056.78
Str,VDEQ_BUG,1AFRY000.85,1AFRY000.85_2016,FALSE,38.94062778,-77.40949722,~0.3 miles upstream from Rt. 657,64,Northern Piedmont,64b,Trap Rock and Conglomerate Uplands,PL18,NRO,Northern,Horsepen Run,N,PL,Horsepen Run,207000809,Potomac River Basin,1A,Potomac-Lower,Fairfax,59,20700080902,RL_1A_316160,III,,,,,1,1,1.21894685,102,126,114.9025707,4.728419581,24,0,4.32668972,1.338912744,0.752556563,4.32668972,1023.48,1023.48,40.29450995,40.29450995,
Str,VDEQ_BUG,1AHOR005.48,1AHOR005.48_2010,FALSE,38.846467,-77.174789,Rt. # 613  (Sleepy Hollow Rd),64,Northern Piedmont,64c,Piedmont Uplands,PL26,NRO,Northern,Cameron Run,T,PL,Cameron Run,207001003,Potomac River Basin,1A,Potomac-Lower,Fairfax,59,20700100302,RL_1A_317532,III,b,,,,2,2,7.111075115,65,149,103.1031283,15.31708268,84,0,16.84433556,3.056076635,1.93636515,16.84433556,2183.73,85.97366847,,42.18939286,1071.61
Str,VDEQ_BUG,1ALIP001.00,,FALSE,38.80522222,-77.43583333,Rt. # 658  (Compton Rd.),64,Northern Piedmont,64a,Triassic Lowlands,PL46,NRO,Northern,Lower Bull Run,N,PL,Lower Bull Run,207001007,Potomac River Basin,1A,Potomac-Lower,Fairfax,59,20700100705,RL_1A_315030,III,g,,,,,2,,,,,,,,,,,,,,,,
Str,VDEQ_BUG,1AMRC003.74,,FALSE,38.228769,-76.997797,monroe cr 0.3m ds of rt 205,63,Middle Atlantic Coastal Plain,63b,Chesapeake-Pamlico Lowlands and Tidal Marshes,PL67,PRO,Piedmont,Potomac River-Popes Creek,T,PL,Popes Creek-Potomac River,207001106,Potomac River Basin,1A,Potomac-Lower,Westmoreland,193,20700110604,RL_1A_309628,VII,,,,,,2,,,,,,,,,,,,,,,,
Str,VDEQ_BUG,1AOPE028.72,1AOPE028.72_2010,FALSE,39.21034722,-78.06457778,0.2 rm d.s. conf. w/ Hiatt Run,67,Ridge and Valley,67b,Northern Shale Valleys,PU18,VRO,Valley,Opequon Creek-Redbud Run,N,PU,Redbud Run-Opequon Creek,207000409,Shenandoah River Basin,1A,Potomac-Lower,Clarke,43,20700040903,RL_1A_236281,IV,pH-6.5-9.5,,,,4,4,109.8923665,142,458,219.9475864,33.42921767,316,0,31.82356262,3.666136778,2.997405274,31.82356262,28009.13,957.28,1102.722249,37.68820933,
Str,VDEQ_BUG,1AOPE036.13,,FALSE,39.14777778,-78.09055555,RT. 655 BRIDGE (FREDERICK COUNTY),67,Ridge and Valley,67b,Northern Shale Valleys,PU16,VRO,Valley,Opequon Creek-Sulphur Spring Run,N,PU,Sulphur Spring Run-Opequon Creek,207000409,Shenandoah River Basin,1A,Potomac-Lower,Frederick,69,20700040901,RL_1A_235966,IV,pH-6.5-9.5,,,,,3,,,,,,,,,,,,,,,,
Str,VDEQ_BUG,1APIM001.89,1APIM001.89_2011,FALSE,38.93725,-77.14108333,Ranleigh Rd,64,Northern Piedmont,64c,Piedmont Uplands,PL24,NRO,Northern,Potomac River-Pimmit Run,T,PL,Pimmit Run-Potomac River,207001001,Potomac River Basin,1A,Potomac-Lower,Fairfax,59,20700100103,,,,,,,2,2,6.891112715,42,150,94.43595823,20.1114596,108,0,21.39104271,3.78826441,2.578348172,21.39104271,2187.86,86.13626699,,42.90592868,1089.81
Str,VDEQ_BUG,1APOH008.54,1APOH008.54_2011,FALSE,38.7318,-77.2198,~0.8 RM upstream of Rt. 641  (Pohick Rd),45,Piedmont,45e,Northern Inner Piedmont,PL29,NRO,Northern,Pohick Creek,T,PL,Pohick Creek,207001004,Potomac River Basin,1A,Potomac-Lower,Fairfax,59,20700100401,,,,,,,3,3,20.44083628,36,144,97.49989245,19.44856827,108,0,21.54374504,4.242310055,2.435420267,21.54374504,7350.44,1046.38,289.3875578,41.19608524,
Str,VDEQ_BUG,1APOR000.52,1APOR000.52_2018,FALSE,38.434964,-77.524428,~0.1 mile upstream from Rt. 648,45,Piedmont,45e,Northern Inner Piedmont,PL59,NRO,Northern,Potomac Creek-Long Branch,N,PL,Long Branch-Potomac Creek,207001102,Potomac River Basin,1A,Potomac-Lower,Stafford,179,20700110205,RL_1A_224967,III,"PWS, b",Yes,,,3,3,10.39278622,54,128,89.07597002,12.55659577,74,0,13.73904514,3.178715325,1.716162768,13.73904514,2066.9,1038.63,81.37405969,40.89096696,
Str,VDEQ_BUG,1ASAN000.34,,FALSE,38.91639167,-77.47213611,Rt. 609  (Pleasant Valley Rd),64,Northern Piedmont,64a,Triassic Lowlands,PL45,NRO,Northern,Cub Run,N,PL,Cub Run,207001007,Potomac River Basin,1A,Potomac-Lower,Loudoun,107,20700100704,RL_1A_316214,III,g,,,,,1,,,,,,,,,,,,,,,,
Str,VDEQ_BUG,1ASAN001.45,,FALSE,38.92555556,-77.487,Rt. 639  (Willard Rd),64,Northern Piedmont,64b,Trap Rock and Conglomerate Uplands,PL45,NRO,Northern,Cub Run,N,PL,Cub Run,207001007,Potomac River Basin,1A,Potomac-Lower,Loudoun,107,20700100704,RL_1A_316205,III,g,,,,,1,,,,,,,,,,,,,,,,
Str,VDEQ_BUG,1ASOC002.93,1ASOC002.93_2016,FALSE,39.18185833,-77.62498889,1.2 miles upstream from Rt. 698,64,Northern Piedmont,64c,Piedmont Uplands,PL02,NRO,Northern,South Fork Catoctin Creek,N,PL,South Fork Catoctin Creek,207000803,Potomac River Basin,1A,Potomac-Lower,Loudoun,107,20700080301,RL_1A_245679,III,,,,,3,2,26.79426492,109,513,179.2524097,56.14382334,404,0,30.27292824,3.848664806,2.995109193,30.27292824,7340.88,1044.82,289.0111797,41.13466788,
Str,VDEQ_BUG,1ATRI001.50,,FALSE,38.86033,-77.16604,Rt. 613  (Sleepy Hollow Rd),64,Northern Piedmont,64c,Piedmont Uplands,PL26,NRO,Northern,Cameron Run,T,PL,Cameron Run,207001003,Potomac River Basin,1A,Potomac-Lower,Fairfax,59,20700100302,RL_1A_317540,III,b,,,,,2,,,,,,,,,,,,,,,,
Str,VDEQ_BUG,1AXLB000.05,1AXLB000.05_2014,FALSE,38.4278,-77.5038,0.05 RM Upstrm of conf. w/ Long Branch,45,Piedmont,45e,Northern Inner Piedmont,PL59,NRO,Northern,Potomac Creek-Long Branch,N,PL,Long Branch-Potomac Creek,207001102,Potomac River Basin,1A,Potomac-Lower,Stafford,179,20700110205,RL_1A_224960,III,"PWS, b",Yes,,,1,1,1.795366655,44,108,79.61725162,10.2458345,64,0,12.78812885,3.147053597,1.706655379,12.78812885,4147.6,1038.4,163.2914268,40.88191184,
Str,VDEQ_BUG,1AXOR000.47,,FALSE,38.789608,-77.061231,0.1 miles upstream Rt. 629,65,Southeastern Plains,65n,Chesapeake Rolling Coastal Plain,PL26,NRO,Northern,Cameron Run,T,PL,Cameron Run,207001003,Potomac River Basin,1A,Potomac-Lower,Fairfax,59,20700100302,RL_1A_317637,III,b,,,,,1,,,,,,,,,,,,,,,,
Str,VDEQ_BUG,1BBLK005.62,1BBLK005.62_2012,FALSE,38.41861111,-78.88944444,End of Mosby Rd. at Public Works Dept.,67,Ridge and Valley,67a,Northern Limestone/Dolomite Valleys,PS22,VRO,Valley,Blacks Run,N,PS,Blacks Run,207000506,Shenandoah River Basin,1B,Potomac-Shenandoah,Harrisonburg,660,20700050602,RL_1B_195264,IV,pH-6.5-9.5,,,,2,2,11.53082513,377,537,426.9381165,23.38389073,160,0,38.41726303,4.01773907,2.922760362,38.41726303,2603.51,102.5004491,,33.60159295,853.48
Str,VDEQ_BUG,1BCPL000.95,,FALSE,39.08583333,-77.98722222,Rt. 621 Bridge,67,Ridge and Valley,67a,Northern Limestone/Dolomite Valleys,PS84,VRO,Valley,Shenandoah River-Chapel Run,N,PS,Chapel Run-Shenandoah River,207000702,Shenandoah River Basin,1B,Potomac-Shenandoah,Clarke,43,20700070201,RL_1B_239443,V,pH-6.5-9.5,,Yes,,,2,,,,,,,,,,,,,,,,
Str,VDEQ_BUG,1BHPY001.29,,FALSE,38.92888889,-78.19027778,8th Street Bridge,67,Ridge and Valley,67a,Northern Limestone/Dolomite Valleys,PS48,VRO,Valley,Happy Creek,N,PS,Happy Creek,207000510,Shenandoah River Basin,1B,Potomac-Shenandoah,Warren,187,20700051005,RL_1B_232712,IV,PWS pH-6.5-9.5,Yes,,,,2,,,,,,,,,,,,,,,,
Str,VDEQ_BUG,1BLEW006.95,1BLEW006.95_2015,FALSE,38.15111111,-79.06083333,Off Rt. 11 at Va School Deaf/Blind,67,Ridge and Valley,67a,Northern Limestone/Dolomite Valleys,PS06,VRO,Valley,Lewis Creek,N,PS,Lewis Creek,207000503,Shenandoah River Basin,1B,Potomac-Shenandoah,Staunton,790,20700050301,RL_1B_189088,IV,pH-6.5-9.5,,,,2,2,14.97238533,403,599,491.977093,29.60278428,196,0,29.02913094,6.818907625,3.512413092,29.02913094,3837.17,151.0697666,,37.37600444,949.35
Str,VDEQ_BUG,1BLNV000.71,1BLNV000.71_2011,FALSE,38.61222222,-78.80083333,Rt. 1414 bridge,67,Ridge and Valley,67a,Northern Limestone/Dolomite Valleys,PS56,VRO,Valley,Linville Creek,N,PS,Linville Creek,207000603,Shenandoah River Basin,1B,Potomac-Shenandoah,Rockingham,165,20700060302,RL_1B_198774,IV,PWS pH-6.5-9.5,Yes,,,3,3,45.6635687,307,828,413.5363951,52.29818912,521,0,32.18823624,6.022098903,3.707498165,32.18823624,10470.05,412.2069155,,35.0374205,889.95
Str,VDEQ_BUG,1BLNV007.42,,FALSE,38.538389,-78.846722,~0.2 miles downstream Rt. 780,67,Ridge and Valley,67a,Northern Limestone/Dolomite Valleys,PS56,VRO,Valley,Linville Creek,N,PS,Linville Creek,207000603,Shenandoah River Basin,1B,Potomac-Shenandoah,Rockingham,165,20700060302,RL_1B_195564,IV,pH-6.5-9.5,,,,,,,,,,,,,,,,,,,,,
Str,VDEQ_BUG,1BLOM000.24,1BLOM000.24_2010,FALSE,38.63388889,-78.74861111,Private bridge off Rt. 211,67,Ridge and Valley,67a,Northern Limestone/Dolomite Valleys,PS57,VRO,Valley,North Fork Shenandoah River-Long Meadow,N,PS,Long Meadow-North Fork Shenandoah River,207000603,Shenandoah River Basin,1B,Potomac-Shenandoah,Rockingham,165,20700060303,RL_1B_198547,IV,pH-6.5-9.5,,,,2,2,15.69447359,300,498,367.1035649,29.66510579,198,0,22.78771973,5.643684178,2.965838435,22.78771973,3534.88,139.1685791,,35.05041263,890.28
Str,VDEQ_BUG,1BMIC001.00,,FALSE,38.316276,-78.818574,RT 671 BRIDGE (ROCKINGHAM CO),67,Ridge and Valley,67a,Northern Limestone/Dolomite Valleys,PS26,VRO,Valley,North River-Mill Creek,N,PS,Mill Creek-North River,207000506,Shenandoah River Basin,1B,Potomac-Shenandoah,Rockingham,165,20700050606,RL_1B_191520,IV,pH-6.5-9.5,,,,,2,,,,,,,,,,,,,,,,
Str,VDEQ_BUG,1BMIL006.68,1BMIL006.68_2012,FALSE,38.7678,-78.7295,0.4 miles upstream Jones Hollow,67,Ridge and Valley,67a,Northern Limestone/Dolomite Valleys,PS63,VRO,Valley,Mill Creek-Crooked Run,N,PS,Crooked Run-Mill Creek,207000603,Shenandoah River Basin,1B,Potomac-Shenandoah,Shenandoah,171,20700060305,,,,,,,2,,20.87837191,316,616,446.1356191,63.98299337,300,0,39.73754883,10.34107314,5.675475534,39.73754883,5455.98,892.66,214.8024782,35.14411347,
Str,VDEQ_BUG,1BMSS001.35,1BMSS001.35_2013,FALSE,38.375149,-79.017014,RT. 747 BRIDGE (ROCKINGHAM COUNTY),67,Ridge and Valley,67a,Northern Limestone/Dolomite Valleys,PS15,VRO,Valley,Mossy Creek,N,PS,Mossy Creek,207000504,Shenandoah River Basin,1B,Potomac-Shenandoah,Rockingham,165,20700050404,RL_1B_194242,V,pH-6.5-9.5,,Yes,,2,2,14.61145848,370,551,442.7524547,31.01204289,181,0,28.69835091,6.452764957,3.231011097,28.69835091,2691.85,869.81,105.9784037,34.24450668,
Str,VDEQ_BUG,1BSPR000.40,,FALSE,39.06583333,-78.00361111,RT. 621 BRIDGE ( CLARKE COUNTY),67,Ridge and Valley,67a,Northern Limestone/Dolomite Valleys,PS83,VRO,Valley,Spout Run,N,PS,Spout Run,207000701,Shenandoah River Basin,1B,Potomac-Shenandoah,Clarke,43,20700070105,RL_1B_239466,VI,pH-6.5-9.5,,Yes,,,2,,,,,,,,,,,,,,,,
Str,VDEQ_BUG,1BSTH019.52,,FALSE,38.1075,-78.8625,Rt. 611 Bridge at Dooms,67,Ridge and Valley,67a,Northern Limestone/Dolomite Valleys,PS30,VRO,Valley,South River-Porterfield Run,N,PS,Porterfield Run-South River,207000507,Shenandoah River Basin,1B,Potomac-Shenandoah,Augusta,15,20700050704,RL_1B_189995,IV,pH-6.5-9.5,,,,,4,,,,,,,,,,,,,,,,
Str,VDEQ_BUG,1BSTV000.20,,FALSE,39.01716667,-78.16930555,Rt. 639 Bridge,67,Ridge and Valley,67b,Northern Shale Valleys,PS79,VRO,Valley,Crooked Run,N,PS,Crooked Run,207000701,Shenandoah River Basin,1B,Potomac-Shenandoah,Warren,187,20700070101,RL_1B_232854,IV,pH-6.5-9.5,,,,,2,,,,,,,,,,,,,,,,
Str,VDEQ_BUG,1BTMB000.54,,FALSE,38.92644445,-78.42458333,RT. 747 BRIDGE (SHENANDOAH COUNTY),67,Ridge and Valley,67b,Northern Shale Valleys,PS69,VRO,Valley,North Fork Shenandoah River-Toms Brook,N,PS,Toms Brook-North Fork Shenandoah River,207000605,Shenandoah River Basin,1B,Potomac-Shenandoah,Shenandoah,171,20700060502,RL_1B_229646,IV,pH-6.5-9.5,,,,,2,,,,,,,,,,,,,,,,
Str,VDEQ_BUG,1BTRL000.02,,FALSE,38.632907,-78.842823,RT. 259 BRIDGE (ROCKINGHAM COUNTY),67,Ridge and Valley,67a,Northern Limestone/Dolomite Valleys,PS55,VRO,Valley,North Fork Shenandoah River-Turley Creek,N,PS,Turley Creek-North Fork Shenandoah River,207000603,Shenandoah River Basin,1B,Potomac-Shenandoah,Rockingham,165,20700060301,RL_1B_196398,IV,PWS pH-6.5-9.5,Yes,,,,1,,,,,,,,,,,,,,,,
Str,VDEQ_BUG,2ABLD014.73,2ABLD014.73_2013,FALSE,37.7488,-79.5598,Upstream ford off Rt. 612,67,Ridge and Valley,67a,Northern Limestone/Dolomite Valleys,JU85,VRO,Valley,Buffalo Creek,N,JU,Buffalo Creek,208020205,James River Basin,2A,James-Upper,Rockbridge,163,20802020505,RL_2A_114545,V,pH-6.5-9.5,,Yes,,3,3,42.90025061,333,1057,573.2187413,144.7998418,724,0,47.17063141,13.7027967,7.163609896,47.17063141,12807.07,1005.17,504.2156266,39.57364342,
Str,VDEQ_BUG,2-ANG001.27,,FALSE,37.37472222,-78.26166667,ANGOLA CREEK AT RT. 673,45,Piedmont,45f,Northern Outer Piedmont,JA16,PRO,Piedmont,Appomattox River-Angola Creek,N,JA,Angola Creek-Appomattox River,208020704,James River Basin,2D,Appomattox,Cumberland,49,20802070402,RL_2D_157692,III, ,,,,,3,,,,,,,,,,,,,,,,
Str,VDEQ_BUG,2BBYR000.08,2BBYR000.08_2011,FALSE,37.72469444,-78.09438889,Just upstream from mouth,45,Piedmont,45f,Northern Outer Piedmont,JM61,PRO,Piedmont,Lower Byrd Creek,N,JM,Lower Byrd Creek,208020501,James River Basin,2B,James-Middle,Goochland,75,20802050103,,,,,,,4,4,114.2576278,48,173,114.4011335,21.95191775,125,0,33.60907364,4.131458603,2.337463355,33.60907364,34984.18,1054.14,1377.330665,41.50159721,
Str,VDEQ_BUG,2-BIO000.45,,FALSE,37.60972222,-78.2075,Bigger Creek @ rt 615,45,Piedmont,45f,Northern Outer Piedmont,JM70,PRO,Piedmont,Willis River-Trice Lake,N,JM,Trice Lake-Willis River,208020503,James River Basin,2B,James-Middle,Cumberland,49,20802050303,RL_2B_159578,III, ,,,,,2,,,,,,,,,,,,,,,,
Str,VDEQ_BUG,2-BLY005.73,,FALSE,37.24969444,-77.31675,Bailey Creek at RT. 630 BELOW FORT LEE,65,Southeastern Plains,65m,Rolling Coastal Plain,JL07,PRO,Piedmont,James River-Bailey Creek,T,JL,Bailey Creek-James River,208020602,James River Basin,2C,James-Lower,Prince George,149,20802060201,RL_2C_255330,III, ,,,,,,,,,,,,,,,,,,,,,
Str,VDEQ_BUG,2CCHK038.53,,FALSE,37.44161111,-77.097,0.3 mile US mouth of Potato Run,65,Southeastern Plains,65m,Rolling Coastal Plain,JL23,PRO,Piedmont,Chickahominy River-Rumley Marsh,N,JL,Rumley Marsh-Chickahominy River,208020605,James River Basin,2C,James-Lower,New Kent,127,20802060505,,,,,,,,4,,,,,,,,,,,,,,,,
Str,VDEQ_BUG,2CJOP000.34,2CJOP000.34_2012,FALSE,37.59569444,-77.476,"Bryan Park, along pedestrian trail",65,Southeastern Plains,65m,Rolling Coastal Plain,JL18,PRO,Piedmont,Upham Brook,N,JL,Upham Brook,208020604,James River Basin,2C,James-Lower,Richmond City,760,20802060403,RL_2C_271380,III,m,,,,2,,5.835432194,44,94,67.53060236,8.776678452,50,0,8.518808365,1.349764259,1.109683022,8.518808365,1087.87,42.82955069,,42.82955069,1087.87
Str,VDEQ_BUG,2-CNE000.96,2-CNE000.96_2016,FALSE,37.32027778,-78.6475,Crane Creek @ rt 600,45,Piedmont,45e,Northern Inner Piedmont,JA04,PRO,Piedmont,Vaughans Creek,N,JA,Vaughans Creek,208020702,James River Basin,2D,Appomattox,Appomattox,11,20802070204,RL_2D_121476,III, ,,,,2,2,4.622337822,149,231,190.3555707,15.91502194,82,0,17.75581551,4.545544781,2.441971509,17.75581551,2178.14,85.75358961,,42.80435382,1087.23
Str,VDEQ_BUG,2DBRI007.10,,FALSE,37.22966667,-78.42111111,Briery Creek US of Rte 655,45,Piedmont,45f,Northern Outer Piedmont,JA10,PRO,Piedmont,Briery Creek,N,JA,Briery Creek,208020703,James River Basin,2D,Appomattox,Prince Edward,147,20802070301,RL_2D_138808,III, ,,,,,3,,,,,,,,,,,,,,,,
Str,VDEQ_BUG,2DNBX002.33,2DNBX002.33_2011,FALSE,37.33430556,-78.00991667,25 meters upstream Rr. 360,45,Piedmont,45f,Northern Outer Piedmont,JA26,PRO,Piedmont,Nibbs Creek,N,JA,Nibbs Creek,208020705,James River Basin,2D,Appomattox,Amelia,7,20802070503,RL_2D_167712,III, ,,,,2,2,3.903403798,84,135,112.7979871,9.027483734,51,0,16.92401886,3.655011742,2.067469502,16.92401886,2164.7,1080.79,85.22445547,42.55081038,
Str,VDEQ_BUG,2DOTD002.52,,FALSE,37.44761111,-77.74144445,100M US Clover Hill Ath. Complex Road,45,Piedmont,45g,Triassic Basins,JA41,PRO,Piedmont,Swift Creek-Swift Creek Reservoir,N,JA,Swift Creek Reservoir-Swift Creek,208020709,James River Basin,2D,Appomattox,Chesterfield,41,20802070901,,,,,,,,,,,,,,,,,,,,,,,,
Str,VDEQ_BUG,2-DOV003.55,2-DOV003.55_2017,FALSE,37.653444,-77.727306,500m downstream route 644,45,Piedmont,45f,Northern Outer Piedmont,JM82,PRO,Piedmont,James River-Little River,N,JM,Little River-James River,208020506,James River Basin,2B,James-Middle,Goochland,75,20802050603,RL_2B_178311,III,PWS,Yes,,,2,,3.612784918,65,122,98.42927932,11.36872033,57,0,10.98638821,3.040646168,1.716699206,10.98638821,1085.58,1085.58,42.73939316,42.73939316,
Str,VDEQ_BUG,2-DPR003.75,2-DPR003.75_2014,FALSE,37.62555556,-77.58386111,"Deep Run, Northern edge of Deep Run Park",45,Piedmont,45f,Northern Outer Piedmont,JM84,PRO,Piedmont,Tuckahoe Creek,N,JM,Tuckahoe Creek,208020506,James River Basin,2B,James-Middle,Henrico,87,20802050605,RL_2B_179305,III,"PWS, o",Yes,,,2,2,3.414455829,46,108,77.41970769,11.33470791,62,0,8.410279274,2.284977561,1.259384568,8.410279274,1082.54,42.61970805,,42.61970805,1082.54
